family,cfg_id,cfg,n,avg_r,h1,h2,t,round
S01_london_breakout,default,"{""box_max_atr"": 0.6, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""11:00""}",1003,-0.063,-0.021,-0.1,-2.52,1
S01_london_breakout,g000,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""10:00""}",748,-0.08,-0.047,-0.109,-2.68,1
S01_london_breakout,g001,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""12:00""}",820,-0.064,-0.038,-0.087,-2.28,1
S01_london_breakout,g002,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 1.0, ""until"": ""10:00""}",748,-0.167,-0.148,-0.183,-3.76,1
S01_london_breakout,g003,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 1.0, ""until"": ""12:00""}",820,-0.148,-0.135,-0.159,-3.49,1
S01_london_breakout,g004,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 2.0, ""until"": ""10:00""}",748,-0.05,-0.003,-0.092,-1.39,1
S01_london_breakout,g005,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 2.0, ""until"": ""12:00""}",820,-0.036,0.007,-0.074,-1.04,1
S01_london_breakout,g006,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 2.0, ""until"": ""10:00""}",748,-0.104,-0.061,-0.142,-1.81,1
S01_london_breakout,g007,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 2.0, ""until"": ""12:00""}",820,-0.084,-0.039,-0.123,-1.53,1
S01_london_breakout,g008,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 0, ""until"": ""10:00""}",748,-0.047,0.019,-0.105,-1.17,1
S01_london_breakout,g009,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 0, ""until"": ""12:00""}",820,-0.031,0.021,-0.076,-0.77,1
S01_london_breakout,g010,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 0, ""until"": ""10:00""}",748,-0.096,-0.044,-0.142,-1.47,1
S01_london_breakout,g011,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 0, ""until"": ""12:00""}",820,-0.067,-0.037,-0.093,-0.99,1
S01_london_breakout,g012,"{""box_max_atr"": 0.6, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""10:00""}",942,-0.074,-0.036,-0.108,-2.85,1
