strategy,variant,n,pf,avg_r,win,max_dd_r,net_r,t,stop_share,med_risk_bp
1 Tokyo pre-fix,"ours: daily ATR, exit 09:55",80,1.65,0.126,0.55,3.0,10.1,1.46,0.09,17.7
1 Tokyo pre-fix,"daily ATR, exit 10:00 (09:45 M15 close)",80,1.28,0.064,0.5,5.4,5.1,0.79,0.09,17.7
1 Tokyo pre-fix,"theirs: M15 ATR, exit 10:00",80,0.56,-0.78,0.08,69.3,-62.4,-1.59,0.92,1.1
1 Tokyo pre-fix,"M15 ATR, exit 09:55",80,0.7,-0.535,0.08,54.8,-42.8,-0.78,0.92,1.1
2 EOD momentum,"ours: daily ATR, 8 idx, SL 0.15",80,1.94,0.294,0.5,7.7,23.5,2.09,0.16,22.0
2 EOD momentum,"ours: daily ATR, 8 idx, SL 0.15 [long]",38,2.06,0.229,0.61,3.5,8.7,1.74,0.08,21.0
2 EOD momentum,"ours: daily ATR, 8 idx, SL 0.15 [short]",42,1.88,0.354,0.4,5.6,14.9,1.48,0.24,22.7
2 EOD momentum,"ours: daily ATR, 8 idx, SL 0.25",80,1.75,0.157,0.5,5.9,12.5,1.77,0.09,36.6
2 EOD momentum,"ours: daily ATR, 8 idx, SL 0.25 [long]",38,2.85,0.173,0.61,1.8,6.6,2.44,0.0,35.0
2 EOD momentum,"ours: daily ATR, 8 idx, SL 0.25 [short]",42,1.46,0.142,0.4,4.7,6.0,0.91,0.17,37.9
2 EOD momentum,"daily ATR, 7 idx, SL 0.15",74,1.95,0.291,0.49,6.5,21.6,2.03,0.15,21.4
2 EOD momentum,"daily ATR, 7 idx, SL 0.15 [long]",35,2.3,0.26,0.6,3.5,9.1,1.91,0.06,20.7
2 EOD momentum,"daily ATR, 7 idx, SL 0.15 [short]",39,1.8,0.32,0.38,5.6,12.5,1.31,0.23,23.1
2 EOD momentum,"daily ATR, 7 idx, SL 0.25",74,1.73,0.151,0.49,4.8,11.2,1.67,0.08,35.6
2 EOD momentum,"daily ATR, 7 idx, SL 0.25 [long]",35,2.86,0.179,0.6,1.8,6.3,2.36,0.0,34.5
2 EOD momentum,"daily ATR, 7 idx, SL 0.25 [short]",39,1.41,0.126,0.38,4.0,4.9,0.8,0.15,38.5
2 EOD momentum,"theirs: M15 ATR, 7 idx, SL 0.15",965,0.51,-0.797,0.13,813.9,-769.2,-7.49,0.86,2.5
2 EOD momentum,"theirs: M15 ATR, 7 idx, SL 0.15 [long]",485,0.49,-0.836,0.13,439.9,-405.5,-6.07,0.86,2.3
2 EOD momentum,"theirs: M15 ATR, 7 idx, SL 0.15 [short]",480,0.53,-0.758,0.12,397.2,-363.7,-4.66,0.87,2.6
2 EOD momentum,"theirs: M15 ATR, 7 idx, SL 0.25",965,0.61,-0.47,0.2,508.9,-453.6,-5.96,0.78,4.1
2 EOD momentum,"theirs: M15 ATR, 7 idx, SL 0.25 [long]",485,0.58,-0.515,0.2,282.5,-249.9,-4.93,0.78,3.9
2 EOD momentum,"theirs: M15 ATR, 7 idx, SL 0.25 [short]",480,0.64,-0.424,0.2,237.2,-203.7,-3.59,0.78,4.3
3 JPY channel,"ours: daily ATR, trail 2.0",51,1.75,0.248,0.53,6.7,12.6,1.62,0.53,90.0
3 JPY channel,"ours: daily ATR, trail 2.0 [long]",32,1.01,0.002,0.44,3.7,0.1,0.01,0.41,93.1
3 JPY channel,"ours: daily ATR, trail 2.0 [short]",19,3.44,0.662,0.68,5.1,12.6,2.17,0.74,85.1
3 JPY channel,"ours: daily ATR, trail 2.5",49,1.7,0.247,0.57,4.7,12.1,1.39,0.39,91.9
3 JPY channel,"ours: daily ATR, trail 2.5 [long]",32,1.15,0.053,0.56,2.7,1.7,0.36,0.25,93.1
3 JPY channel,"ours: daily ATR, trail 2.5 [short]",17,2.68,0.612,0.59,5.1,10.4,1.48,0.65,90.4
3 JPY channel,"ours: daily ATR, trail 3.0",48,1.79,0.27,0.56,4.9,13.0,1.38,0.35,91.1
3 JPY channel,"ours: daily ATR, trail 3.0 [long]",32,1.13,0.042,0.56,3.1,1.3,0.29,0.25,93.1
3 JPY channel,"ours: daily ATR, trail 3.0 [short]",16,3.01,0.727,0.56,5.1,11.6,1.49,0.56,89.9
3 JPY channel,"H4 ATR, trail 2.0",130,0.88,-0.059,0.33,24.5,-7.7,-0.57,0.98,29.7
3 JPY channel,"H4 ATR, trail 2.0 [long]",70,0.69,-0.161,0.31,15.0,-11.3,-1.24,0.99,27.6
3 JPY channel,"H4 ATR, trail 2.0 [short]",60,1.14,0.059,0.35,14.3,3.6,0.36,0.98,32.0
3 JPY channel,"H4 ATR, trail 2.5",112,0.81,-0.109,0.31,28.5,-12.3,-0.88,0.97,29.9
3 JPY channel,"H4 ATR, trail 2.5 [long]",57,0.72,-0.165,0.33,15.9,-9.4,-1.0,0.98,27.3
3 JPY channel,"H4 ATR, trail 2.5 [short]",55,0.91,-0.052,0.29,16.9,-2.9,-0.28,0.96,32.1
3 JPY channel,"H4 ATR, trail 3.0",97,1.03,0.017,0.27,29.3,1.7,0.09,0.93,29.0
3 JPY channel,"H4 ATR, trail 3.0 [long]",50,1.0,0.002,0.28,14.0,0.1,0.01,0.88,27.1
3 JPY channel,"H4 ATR, trail 3.0 [short]",47,1.05,0.033,0.26,19.6,1.6,0.12,0.98,31.9
3 JPY channel,"H1 ATR, trail 2.0",234,0.71,-0.168,0.32,61.1,-39.2,-2.11,1.0,14.1
3 JPY channel,"H1 ATR, trail 2.0 [long]",154,0.46,-0.332,0.26,55.7,-51.1,-4.01,1.0,12.3
3 JPY channel,"H1 ATR, trail 2.0 [short]",80,1.29,0.149,0.44,12.9,11.9,0.91,1.0,18.6
3 JPY channel,"H1 ATR, trail 2.5",211,0.68,-0.209,0.3,60.9,-44.2,-2.34,1.0,14.3
3 JPY channel,"H1 ATR, trail 2.5 [long]",134,0.5,-0.358,0.23,50.8,-48.0,-3.42,1.0,12.4
3 JPY channel,"H1 ATR, trail 2.5 [short]",77,1.09,0.05,0.42,17.0,3.8,0.31,0.99,18.4
3 JPY channel,"H1 ATR, trail 3.0",198,0.68,-0.229,0.27,59.9,-45.4,-2.13,0.99,14.4
3 JPY channel,"H1 ATR, trail 3.0 [long]",124,0.44,-0.444,0.2,56.3,-55.0,-3.92,1.0,12.5
3 JPY channel,"H1 ATR, trail 3.0 [short]",74,1.22,0.131,0.39,15.9,9.7,0.62,0.99,18.2
4 Dip-buy,"ours: daily ATR, 8 idx",91,1.23,0.077,0.59,7.8,7.0,0.94,0.27,154.5
4 Dip-buy,"daily ATR, 7 idx",81,1.3,0.095,0.6,7.4,7.7,1.11,0.26,146.4
