family,universe,n_cfg,share_pos,share_both,d_n,d_week,d_week_all,d_win,d_gross,d_net,d_t,d_h1,d_h2,d_hold,d_pf,d_cfg,b_cfg,b_net,b_t,b_h1,b_h2,b_n
S01_london_breakout,"['EURUSD', 'GBPUSD', 'USDJPY', 'AUDUSD', 'USDCAD', 'USDCHF', 'EURJPY', 'EURGBP']",37,0.0,0.0,1003,3.7,29.8,0.54,0.002,-0.063,-2.52,-0.021,-0.1,5.1,0.84,"{""box_max_atr"": 0.6, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""11:00""}","{""box_max_atr"": 1.0, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 0, ""until"": ""12:00""}",-0.028,-0.87,0.024,-0.075,1113
S02_orb,"['US500', 'NAS100', 'US30', 'US2000', 'GER40', 'EUSTX50', 'JPN225', 'AUS200']",18,0.0,0.0,1155,4.3,34.3,0.42,-0.07,-0.102,-3.32,-0.058,-0.145,4.9,0.8,"{""active_h"": 3.0, ""or_min"": 30, ""sl"": ""edge"", ""tp_mult"": 2.0}","{""active_h"": 3.0, ""or_min"": 30, ""sl"": ""edge"", ""tp_mult"": 1.0}",-0.071,-2.72,-0.063,-0.079,1155
S03_noise_momentum,"['US500', 'NAS100', 'US30', 'US2000', 'GER40', 'EUSTX50', 'JPN225', 'AUS200']",24,0.0,0.0,717,2.7,21.3,0.31,-0.023,-0.04,-2.12,-0.003,-0.071,1.0,0.79,"{""hard_sl_atr"": 0.5, ""lookback"": 14, ""use_vwap"": true, ""vm"": 1.0}","{""hard_sl_atr"": 0.75, ""lookback"": 14, ""use_vwap"": false, ""vm"": 1.5}",-0.022,-1.35,-0.005,-0.036,461
S04_gap_fade,"['US500', 'NAS100', 'US30', 'US2000', 'GER40', 'EUSTX50', 'JPN225', 'AUS200']",33,0.18,0.09,671,2.5,19.9,0.52,0.024,-0.005,-0.15,-0.025,0.012,1.3,0.99,"{""delay"": 0, ""gmax"": 0.6, ""gmin"": 0.15, ""sl_gap"": 1.0, ""target"": 1.0}","{""delay"": 0, ""gmax"": 0.5, ""gmin"": 0.2, ""sl_gap"": 1.5, ""target"": 1.0}",0.021,0.73,0.024,0.018,471
S05_sweep_reversal,"['EURUSD', 'GBPUSD', 'USDJPY', 'AUDUSD', 'USDCAD', 'USDCHF', 'EURJPY', 'EURGBP', 'US500', 'NAS100', 'US30', 'US2000', 'GER40', 'EUSTX50', 'JPN225', 'AUS200']",12,0.0,0.0,1511,2.8,44.8,0.34,-0.091,-0.21,-6.2,-0.184,-0.233,1.6,0.71,"{""close_back"": ""inside"", ""tf"": 15, ""tp_r"": 2.0}","{""close_back"": ""strong"", ""tf"": 60, ""tp_r"": 1.0}",-0.141,-5.13,-0.08,-0.194,1104
S06_trend_pullback,"['EURUSD', 'GBPUSD', 'USDJPY', 'AUDUSD', 'USDCAD', 'USDCHF', 'EURJPY', 'EURGBP', 'US500', 'NAS100', 'US30', 'US2000', 'GER40', 'EUSTX50', 'JPN225', 'AUS200']",18,0.11,0.11,784,1.5,23.3,0.39,0.008,-0.05,-1.05,-0.034,-0.065,20.8,0.92,"{""don"": 20, ""max_hold_h"": 72, ""pb_atr"": 0.5, ""tp_r"": 2.0}","{""don"": 20, ""max_hold_h"": 72, ""pb_atr"": 0.75, ""tp_r"": 3.0}",0.03,0.47,0.034,0.027,602
S07_asian_fade,"['EURUSD', 'GBPUSD', 'USDJPY', 'AUDUSD', 'USDCAD', 'USDCHF', 'EURJPY', 'EURGBP']",13,0.0,0.0,1792,6.6,53.2,0.57,0.024,-0.138,-7.26,-0.115,-0.161,1.3,0.68,"{""lookback"": 8, ""sl_mult"": 1.0}","{""lookback"": 16, ""sl_mult"": 1.5, ""start"": ""19:30""}",-0.069,-5.23,-0.05,-0.087,1266
S08_tokyo_fix,"['USDJPY', 'EURJPY']",6,0.33,0.17,80,1.2,2.4,0.55,0.171,0.126,1.46,0.082,0.16,1.9,1.65,"{""days"": ""gotobi"", ""entry"": ""08:00"", ""exit_at"": ""09:55""}","{""days"": ""gotobi"", ""entry"": ""08:00"", ""exit_at"": ""09:55""}",0.126,1.46,0.082,0.16,80
S09_news_momentum,"['EURUSD', 'GBPUSD', 'USDJPY', 'AUDUSD', 'USDCAD', 'USDCHF', 'US500', 'NAS100', 'US30', 'US2000']",25,0.16,0.0,107,0.3,3.2,0.23,-0.323,-0.437,-3.61,-0.535,-0.394,0.5,0.49,"{""exit_at"": ""12:00"", ""k"": 2.5, ""mode"": ""follow"", ""sl"": ""mid"", ""slot"": ""08:30"", ""tp_r"": 2.0}","{""exit_at"": ""12:00"", ""k"": 3.0, ""mode"": ""fade"", ""sl"": ""mid"", ""slot"": ""08:30"", ""tp_r"": 2.0}",0.184,1.27,-0.017,0.252,79
S10_eur_seasonality,"['EURUSD', 'GBPUSD', 'USDCHF']",5,0.0,0.0,495,4.9,14.7,0.47,-0.013,-0.059,-1.42,-0.102,-0.019,8.0,0.86,"{""leg"": ""europe"", ""sl_atr"": 0.4}","{""leg"": ""europe"", ""sl_atr"": 0.6}",-0.022,-0.75,-0.061,0.014,495
