n,per_week,win,avg_r,med_r,sum_r,pf,t,sharpe,max_dd_r,avg_bp,hold_h,h1_avg,h2_avg,h1_n,h2_n,family,cfg_id,cfg,sym_pos,n_sym,avg_r_stress
1003,3.71875,0.5413758723828515,-0.06306944354659519,0.14881032699133812,-63.25865187723497,0.8395663436513626,-2.5210860868291913,-2.2630815674622604,67.12280774480715,-0.7225434940960384,5.083333333333333,-0.021074780812608156,-0.09951173932692657,466,537,S01_london_breakout,default,"{""box_max_atr"": 0.6, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""11:00""}",0.25,8,-0.09541995086810438
748,2.7733050847457625,0.5494652406417112,-0.07954320891437316,0.21398296423588534,-59.49832026795112,0.8080121829976952,-2.6824991662556603,-2.4417007231286316,60.42898407376476,-0.8419920296012543,4.583333333333333,-0.04655639771158718,-0.10886481887240512,352,396,S01_london_breakout,g000,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""10:00""}",0.375,8,-0.115845981081008
820,3.0402542372881354,0.5548780487804879,-0.0640556809865276,0.25488654066311556,-52.52565840895264,0.8408115032258907,-2.2800641057629716,-2.0596626506570783,53.21985160556142,-0.5416413795635625,4.383333333333334,-0.038345878442293625,-0.08681033381303353,385,435,S01_london_breakout,g001,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 1.0, ""until"": ""12:00""}",0.375,8,-0.09979501107344718
748,2.7733050847457625,0.4144385026737968,-0.16663965990492166,-1.0936577185255607,-124.6464656088814,0.7548345769200693,-3.7560920595484166,-3.2933023974428797,129.0211915571814,-1.1396622989161491,1.95,-0.1480936768135933,-0.1831249782083246,352,396,S01_london_breakout,g002,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 1.0, ""until"": ""10:00""}",0.125,8,-0.2375920751090105
820,3.0402542372881354,0.42073170731707316,-0.14800213150251332,-1.0908318170159401,-121.36174783206093,0.7788097542463367,-3.490720023463628,-3.1225932679962813,124.38763448664393,-0.942690292422298,2.0,-0.13545078776561714,-0.15911079205126052,385,435,S01_london_breakout,g003,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 1.0, ""until"": ""12:00""}",0.25,8,-0.21788845273906504
748,2.7733050847457625,0.4839572192513369,-0.05024206555748647,-0.10564304371746458,-37.58106503699988,0.891691161521351,-1.388412804797718,-1.2210613639198633,48.12259739129962,-0.21168767650646925,6.741666666666666,-0.002945238764240347,-0.09228368937370525,352,396,S01_london_breakout,g004,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 2.0, ""until"": ""10:00""}",0.5,8,-0.08654483772412132
820,3.0402542372881354,0.4878048780487805,-0.035634183721765175,-0.07333054166309752,-29.220030651847445,0.9210613994339139,-1.0374846950375949,-0.9233052887285184,41.03198608667775,0.06751649095157908,6.416666666666667,0.007322120129213512,-0.0736529813829762,385,435,S01_london_breakout,g005,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 2.0, ""until"": ""12:00""}",0.625,8,-0.07137351380868476
748,2.7733050847457625,0.35561497326203206,-0.10350626948878967,-1.1095883711021841,-77.42268957761468,0.8615473870711498,-1.811092156870819,-1.565457049015139,82.68064548339338,-0.39242258289481624,3.275,-0.060525016997871585,-0.14171182725849465,352,396,S01_london_breakout,g006,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 2.0, ""until"": ""10:00""}",0.625,8,-0.1744586846928786
820,3.0402542372881354,0.3621951219512195,-0.08358707376419854,-1.106817269117504,-68.5414004866428,0.8865475837336448,-1.5280417300051654,-1.3533019311536234,73.79935639242152,-0.1597052252913693,3.3583333333333334,-0.039340259076432266,-0.12274804768325606,385,435,S01_london_breakout,g007,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""mid"", ""tp_mult"": 2.0, ""until"": ""12:00""}",0.75,8,-0.15347339500075022
748,2.7733050847457625,0.4732620320855615,-0.046869848144485415,-0.14051784045988597,-35.05864641207509,0.9011261803027724,-1.1740913011769807,-1.0006955252418201,55.167975183443986,-0.1730870072269181,7.408333333333333,0.018708476453289154,-0.10516169223139614,352,396,S01_london_breakout,g008,"{""box_max_atr"": 0.4, ""exit_at"": ""16:00"", ""sl"": ""edge"", ""tp_mult"": 0, ""until"": ""10:00""}",0.5,8,-0.08317262031112026
