label,period,n,win,avgR,pf,sumR,maxddR,exit,set,filter
,p1,0,,,,0.0,,R2,WTI_ohlc,all
,p2,26,0.5,0.23072511967618262,1.4717467175680723,5.998853111580748,5.199617378036615,R2,WTI_ohlc,all
,p3,10,0.5,0.3525003126116646,1.8273395901706608,3.525003126116646,4.260648430216569,R2,WTI_ohlc,all
,p4,0,,,,0.0,,R2,WTI_ohlc,all
,p1,0,,,,0.0,,R2,WTI_ohlc,with_trend
,p2,8,0.5,0.11889063521340244,1.2311566611884075,0.9511250817072195,1.208165704319505,R2,WTI_ohlc,with_trend
,p3,4,0.25,-0.528433194570153,0.30803092321030945,-2.113732778280612,3.054663639142702,R2,WTI_ohlc,with_trend
,p4,0,,,,0.0,,R2,WTI_ohlc,with_trend
,p1,0,,,,0.0,,R2,WTI_ohlc,counter_trend
,p2,18,0.5,0.28042933499297384,1.586834290464414,5.047728029873529,4.544601557360783,R2,WTI_ohlc,counter_trend
,p3,6,0.6666666666666666,0.939789317399543,5.675627707855466,5.638735904397258,1.2059847910738672,R2,WTI_ohlc,counter_trend
,p4,0,,,,0.0,,R2,WTI_ohlc,counter_trend
,p1,0,,,,0.0,,R2,WTI_ohlc,vol_high
,p2,9,0.6666666666666666,0.594539547775243,3.143239185578945,5.350855929977187,1.0080109864957647,R2,WTI_ohlc,vol_high
,p3,5,1.0,1.557130311266643,inf,7.785651556333215,0.0,R2,WTI_ohlc,vol_high
,p4,0,,,,0.0,,R2,WTI_ohlc,vol_high
,p1,0,,,,0.0,,R2,WTI_ohlc,vol_low
,p2,15,0.4,-0.021501184952384792,0.9649569698524045,-0.3225177742857719,5.118615498247109,R2,WTI_ohlc,vol_low
,p3,5,0.0,-0.8521296860433137,0.0,-4.260648430216569,4.260648430216569,R2,WTI_ohlc,vol_low
,p4,0,,,,0.0,,R2,WTI_ohlc,vol_low
,p1,76,0.40789473684210525,-0.40423631360223294,0.6253653838373768,-30.721959833769702,32.15139776126021,R2,WTI_eia,all
,p2,51,0.6666666666666666,0.3326853932391668,1.4855362270881156,16.966955055197506,9.366255614713017,R2,WTI_eia,all
,p3,23,0.5652173913043478,0.3293459215813196,1.4384763240475549,7.5749561963703504,5.793987550810003,R2,WTI_eia,all
,p4,21,0.6666666666666666,0.8024850778373466,2.642570615673564,16.852186634584278,2.6934643143544594,R2,WTI_eia,all
,p1,36,0.3333333333333333,-0.7245295747958799,0.4062237980548331,-26.083064692651675,28.302740992645134,R2,WTI_eia,with_trend
,p2,24,0.5833333333333334,0.041742745137187086,1.045324687876648,1.00182588329249,13.894881603408646,R2,WTI_eia,with_trend
,p3,11,0.45454545454545453,0.11941412104923592,1.1375802213210293,1.313555331541595,3.040856031128403,R2,WTI_eia,with_trend
,p4,10,0.6,0.38649502859495,1.6369570142854448,3.8649502859495,2.588207282989994,R2,WTI_eia,with_trend
,p1,40,0.475,-0.11597237852795053,0.8781728999950597,-4.638895141118021,9.427886598340319,R2,WTI_eia,counter_trend
,p2,28,0.75,0.61945564777646,2.3506841649435444,17.34475813774088,6.497008699981587,R2,WTI_eia,counter_trend
,p3,12,0.6666666666666666,0.5217834054023963,1.8102149258019884,6.261400864828756,5.486500919793959,R2,WTI_eia,counter_trend
,p4,11,0.7272727272727273,1.180657849875889,4.098243102872953,12.98723634863478,2.204737783472816,R2,WTI_eia,counter_trend
,p1,37,0.3783783783783784,-0.4576422737319832,0.5529897508978643,-16.932764128083377,16.976321864652977,R2,WTI_eia,vol_high
,p2,25,0.72,0.6438589361445761,2.4036311614694896,16.096473403614404,5.95688861419484,R2,WTI_eia,vol_high
,p3,9,0.6666666666666666,0.7869593348758159,2.315448047692856,7.082634013882344,3.040856031128403,R2,WTI_eia,vol_high
,p4,10,0.8,1.5016804671749528,7.485643641344913,15.01680467174953,1.8497053045186647,R2,WTI_eia,vol_high
,p1,39,0.4358974358974359,-0.3535691206586238,0.6874976393531986,-13.789195705686327,18.094584207293003,R2,WTI_eia,vol_low
,p2,26,0.6153846153846154,0.03348006352242694,1.0370779992591854,0.8704816515831004,11.591203155494796,R2,WTI_eia,vol_low
,p3,15,0.4666666666666667,-0.2901514941404357,0.7399459320330745,-4.352272412106535,8.465586033783556,R2,WTI_eia,vol_low
,p4,11,0.5454545454545454,0.16685290571225,1.2310327398238678,1.83538196283475,2.69346431435446,R2,WTI_eia,vol_low
,p1,80,0.5,-0.06277054055476121,0.9353317606996345,-5.021643244380897,25.994822008955445,R2,BRENT_eia,all
