mkt,tf,imp_n,imp_k,cons_m,setups,fam,fill_rate,n,win,avgR
WTI,1h,1,2.0,3,506,cont,0.46047430830039526,233,0.5150214592274678,-0.1256791933586283
WTI,1h,1,2.0,3,506,rev,0.4841897233201581,245,0.49387755102040815,-0.18524927523123594
WTI,1h,1,2.0,5,360,cont,0.44166666666666665,159,0.5660377358490566,-0.010372032494944268
WTI,1h,1,2.0,5,360,rev,0.4861111111111111,175,0.4857142857142857,-0.18368316806629956
WTI,1h,1,2.0,8,264,cont,0.4393939393939394,116,0.5344827586206896,-0.05433652240187019
WTI,1h,1,2.0,8,264,rev,0.5227272727272727,138,0.427536231884058,-0.283214520609504
WTI,1h,3,2.5,3,1995,cont,0.4230576441102757,844,0.49170616113744076,-0.15438292180506816
WTI,1h,3,2.5,3,1995,rev,0.46015037593984964,918,0.4596949891067538,-0.21484216683505225
WTI,1h,3,2.5,5,1583,cont,0.3954516740366393,626,0.5031948881789138,-0.11064217092296652
WTI,1h,3,2.5,5,1583,rev,0.476310802274163,754,0.4854111405835544,-0.16028979516558034
WTI,1h,3,2.5,8,1328,cont,0.4066265060240964,540,0.48518518518518516,-0.135171881463778
WTI,1h,3,2.5,8,1328,rev,0.5188253012048193,689,0.4702467343976778,-0.1766386250089563
WTI,1h,5,3.0,3,2303,cont,0.41033434650455924,945,0.5227513227513227,-0.0812791787565495
WTI,1h,5,3.0,3,2303,rev,0.4641771602257924,1069,0.4686623012160898,-0.19751542397646285
WTI,1h,5,3.0,5,2054,cont,0.40993184031158714,842,0.517814726840855,-0.07778369664341722
WTI,1h,5,3.0,5,2054,rev,0.4571567672833496,939,0.47710330138445156,-0.17329627852740095
WTI,1h,5,3.0,8,1834,cont,0.42148309705561615,773,0.5148771021992238,-0.0760723090526895
WTI,1h,5,3.0,8,1834,rev,0.4940021810250818,906,0.47240618101545256,-0.16567134169145928
WTI,4h,1,2.0,3,295,cont,0.4067796610169492,120,0.475,-0.135351419390726
WTI,4h,1,2.0,3,295,rev,0.5932203389830508,175,0.4685714285714286,-0.14252853463931922
WTI,4h,1,2.0,5,108,cont,0.4351851851851852,47,0.5106382978723404,-0.06067182589457165
WTI,4h,1,2.0,5,108,rev,0.5648148148148148,61,0.4918032786885246,-0.08514977865929614
WTI,4h,3,2.5,3,695,cont,0.41294964028776976,287,0.49477351916376305,-0.09594239132625391
