window_len,first_month,months,symbol,sharpe,is_sharpe,oos_sharpe,rank_in_len
3,Jan,Jan-Feb-Mar,XTIUSD,0.35715342048240023,0.529139587501886,0.19297220900676906,2.0
3,Jan,Jan-Feb-Mar,XBRUSD,0.3231147343061793,0.4132159233339275,0.23292952189843283,4.0
3,Jan,Jan-Feb-Mar,PORT,0.329424636152718,0.44380938279713045,0.21671464245254768,4.0
3,Feb,Feb-Mar-Apr,XTIUSD,0.5113429353565526,0.6275542755261255,0.4044508111499295,1.0
3,Feb,Feb-Mar-Apr,XBRUSD,0.5308437667445713,0.613636075324766,0.4526405256826753,1.0
3,Feb,Feb-Mar-Apr,PORT,0.5304856362733151,0.6172381084058414,0.4488779206941662,1.0
3,Mar,Mar-Apr-May,XTIUSD,0.35364002417437856,0.6016407441359604,0.13083889227512532,3.0
3,Mar,Mar-Apr-May,XBRUSD,0.36732568461958587,0.6406837985461954,0.11455343829503406,2.0
3,Mar,Mar-Apr-May,PORT,0.3837011847409133,0.6582713205927567,0.12946620229240113,2.0
3,Apr,Apr-May-Jun,XTIUSD,0.3124068637460043,0.38779821543568876,0.24008257165824679,4.0
3,Apr,Apr-May-Jun,XBRUSD,0.3321511832828484,0.41816522745508633,0.2467440008825085,3.0
3,Apr,Apr-May-Jun,PORT,0.348824111238837,0.44724234486067,0.2508995989092064,3.0
3,May,May-Jun-Jul,XTIUSD,0.11372971015524855,0.2968841933693045,-0.059431115819593996,8.0
3,May,May-Jun-Jul,XBRUSD,0.10092343108734363,0.2691170514385539,-0.05996713418862089,8.0
3,May,May-Jun-Jul,PORT,0.11153657392119858,0.2906282182381888,-0.06288742045382359,8.0
3,Jun,Jun-Jul-Aug,XTIUSD,0.14991160604656828,0.3607748553308754,-0.0569353513510185,6.0
3,Jun,Jun-Jul-Aug,XBRUSD,0.16670216821514477,0.33855939751516223,-0.006974472167533145,6.0
3,Jun,Jun-Jul-Aug,PORT,0.15276877688631252,0.3395842295041391,-0.03987556712624928,7.0
3,Jul,Jul-Aug-Sep,XTIUSD,0.12117956273732525,0.4953062703422045,-0.26195137874861035,7.0
3,Jul,Jul-Aug-Sep,XBRUSD,0.2171181699661322,0.5796009922985078,-0.15405861378665617,5.0
3,Jul,Jul-Aug-Sep,PORT,0.18597033320636636,0.5772694171151661,-0.2331735997655661,5.0
3,Aug,Aug-Sep-Oct,XTIUSD,-0.0073612156166709825,0.2775927153659112,-0.3074908663585126,9.0
3,Aug,Aug-Sep-Oct,XBRUSD,0.018620026538320313,0.24617151893269792,-0.22621788663529455,9.0
3,Aug,Aug-Sep-Oct,PORT,0.029979383002016025,0.3100035976651234,-0.28131702960346006,9.0
3,Sep,Sep-Oct-Nov,XTIUSD,-0.17681726530587996,-0.0213656531039658,-0.3348398734465391,11.0
3,Sep,Sep-Oct-Nov,XBRUSD,-0.24082047574921497,-0.08880995284305747,-0.40214616482332577,11.0
3,Sep,Sep-Oct-Nov,PORT,-0.1911261332825084,-0.006704694947570324,-0.38891548313183777,11.0
3,Oct,Oct-Nov-Dec,XTIUSD,-0.29299878136444346,-0.3285246724394361,-0.25704586815094793,12.0
3,Oct,Oct-Nov-Dec,XBRUSD,-0.4132285578001084,-0.4590450017864355,-0.3630835590384066,12.0
3,Oct,Oct-Nov-Dec,PORT,-0.35899615240140226,-0.39673961562225546,-0.31831753777288607,12.0
3,Nov,Nov-Dec-Jan,XTIUSD,-0.10889479603880456,-0.08341347473189277,-0.1353093366043894,10.0
3,Nov,Nov-Dec-Jan,XBRUSD,-0.21312140863484696,-0.192569943331429,-0.23652340160012655,10.0
3,Nov,Nov-Dec-Jan,PORT,-0.1710212849151861,-0.13399625629056813,-0.21151646800827698,10.0
3,Dec,Dec-Jan-Feb,XTIUSD,0.1936477383909888,0.18393139129599678,0.2044958164273661,5.0
3,Dec,Dec-Jan-Feb,XBRUSD,0.15232948098104954,0.039499980982413384,0.28044864716497936,7.0
3,Dec,Dec-Jan-Feb,PORT,0.16669463904492782,0.09512400725559052,0.24676832847066799,6.0
4,Jan,Jan-Feb-Mar-Apr,XTIUSD,0.49405729367132256,0.6447721680470333,0.34826609085841514,1.0
4,Jan,Jan-Feb-Mar-Apr,XBRUSD,0.4935980463956525,0.5870709394701178,0.39845192232427024,1.0
4,Jan,Jan-Feb-Mar-Apr,PORT,0.5036578766289099,0.6237953342655884,0.3832074291945061,1.0
4,Feb,Feb-Mar-Apr-May,XTIUSD,0.43511773834697043,0.6269106434762963,0.2611730551105774,2.0
4,Feb,Feb-Mar-Apr-May,XBRUSD,0.46647960787068843,0.6130331213684685,0.330964038243742,2.0
4,Feb,Feb-Mar-Apr-May,PORT,0.4648006178325396,0.6274684146310803,0.31387481302117803,2.0
4,Mar,Mar-Apr-May-Jun,XTIUSD,0.40698811439846755,0.5892002169854105,0.23948582510161354,3.0
4,Mar,Mar-Apr-May-Jun,XBRUSD,0.3845694336076803,0.6050563723362068,0.17604354860144103,3.0
4,Mar,Mar-Apr-May-Jun,PORT,0.41496628754453146,0.6266527987365347,0.2140444526314564,3.0
4,Apr,Apr-May-Jun-Jul,XTIUSD,0.279054925677271,0.44225695732325404,0.1220528643724511,5.0
4,Apr,Apr-May-Jun-Jul,XBRUSD,0.3149385287882288,0.477997644682736,0.15416769450812975,4.0
4,Apr,Apr-May-Jun-Jul,PORT,0.3184231413298492,0.49722702879757935,0.14045529482048513,4.0
4,May,May-Jun-Jul-Aug,XTIUSD,0.12470493009306052,0.39953733831580585,-0.13755738510025706,7.0
4,May,May-Jun-Jul-Aug,XBRUSD,0.14562226857915764,0.3703494798513159,-0.07306769046209725,7.0
4,May,May-Jun-Jul-Aug,PORT,0.13651585243522357,0.38578029387153195,-0.11125705045864327,7.0
4,Jun,Jun-Jul-Aug-Sep,XTIUSD,0.20395010338030495,0.5011529367046745,-0.09836166376266436,6.0
