dataset,symbol,period,effect,n_on,mean_on_bp,mean_off_bp,diff_bp,t_diff,p_diff,t_on_vs_0,p_on_vs_0,vol_ratio,hit_on,p_bh,p_holm
fut,XTIUSD,full,tom,1582,8.158199613831489,3.258894804453901,4.899304809377588,0.962474398459231,0.3359130744893253,1.762250328649506,0.07822022617177685,1.055679331046577,0.5164348925410872,0.6791471373282387,1.0
fut,XTIUSD,full,eia,1741,7.139345520298491,3.4089001591206562,3.7304453611778348,0.7801844347350297,0.43535072905656336,1.6734898256866948,0.09441065010511525,1.0122645383605609,0.5318782309017805,0.6791471373282387,1.0
fut,XTIUSD,full,pre_hol,290,31.70446230640304,3.1972203807090165,28.507241925694025,2.918335634593721,0.0037732406969109658,3.3133884082652676,0.0010390904987277849,0.9222438657413848,0.6103448275862069,0.07357819358976384,0.14338314648261669
fut,XTIUSD,full,post_hol,275,-8.540137149711661,4.6166910499257305,-13.156828199637392,-0.8901718582382261,0.37412818648810986,-0.5827979950894853,0.5605086073932575,1.3999109476948954,0.5272727272727272,0.6791471373282387,1.0
fut,XTIUSD,full,exp_week,2008,-2.9066429695145657,6.4216756463335605,-9.328318615848127,-2.053180448337223,0.04013304241531588,-0.7314104280336527,0.46461388300565115,1.0136307184408093,0.5039840637450199,0.2608647756995532,1.0
fut,XTIUSD,full,ltd,401,-11.139955862871629,4.955412532255316,-16.095368395126947,-1.782733513673975,0.07531728336594848,-1.2644674292414018,0.20679856549776923,1.0008776474655205,0.49875311720698257,0.26703400466109006,1.0
fut,XTIUSD,full,opt_exp,402,4.002154458162013,4.193772464426889,-0.1916180062648754,-0.021502452579840237,0.9828545180498675,0.460566651248879,0.6453592031713659,0.9876214542498363,0.5348258706467661,0.9828545180498675,1.0
fut,XTIUSD,full,roll_win,1999,5.508293254615017,3.7694302149595926,1.738863039655424,0.3853885841546176,0.6999739815300106,1.4002878486787613,0.16158240396879883,0.9968081774845567,0.5247623811905953,0.8199233930004154,1.0
fut,XTIUSD,full,dow0,1575,0.6962987630100285,4.992756083316721,-4.296457320306692,-0.8258249255776444,0.40899183664016636,0.14630012265180284,0.8837032032172691,1.0902051169460507,0.49587301587301585,0.6791471373282387,1.0
fut,XTIUSD,full,dow1,1720,-2.6151441416763648,5.942503281198137,-8.557647422874503,-1.8607163001854075,0.06288868186690232,-0.6463924831257878,0.5181114948085475,0.94052647590506,0.5,0.26703400466109006,1.0
fut,XTIUSD,full,dow2,1724,5.957115741641151,3.7249750139176596,2.2321407277234915,0.45706389767354294,0.6476632393132834,1.357480251351044,0.1748064328893622,1.0427417424704024,0.5301624129930395,0.8051189082655851,1.0
fut,XTIUSD,full,dow3,1694,7.131686422539439,3.4370938173897367,3.6945926051497024,0.7802281575388013,0.43532599244336356,1.6937354842765926,0.09049950334116054,0.9788190018727292,0.5206611570247934,0.6791471373282387,1.0
fut,XTIUSD,full,dow4,1660,9.691361108252565,2.8228462634334286,6.868514844819136,1.4662220788916163,0.1427067141524067,2.335183623998671,0.01965252145192306,0.9498442787585758,0.5524096385542169,0.42812014245722013,1.0
fut,XTIUSD,1990-2007,tom,811,12.094795973173479,5.248927161589117,6.845868811584363,1.132598329115485,0.2576085088145179,2.215870397623263,0.02697766040033604,1.0127590995423574,0.5215782983970407,,
fut,XTIUSD,1990-2007,eia,896,9.68500583920942,5.711606278939405,3.9733995602700163,0.6823980835220985,0.4951011705442527,1.8639279930718673,0.06265906678350915,1.0137302695079597,0.5267857142857143,,
fut,XTIUSD,1990-2007,pre_hol,143,34.41190114861436,5.580905615709806,28.83099553290456,2.72995112481755,0.007054237573738042,3.345821006306397,0.0010498451444585274,0.7948643764965263,0.6433566433566433,,
fut,XTIUSD,1990-2007,post_hol,129,16.24960008157271,6.238609345381511,10.010990736191197,0.5144474860574012,0.6078007814198185,0.8411581589192454,0.40182801066354124,1.4491273972356657,0.5581395348837209,,
fut,XTIUSD,1990-2007,exp_week,1034,-0.3827133526397357,8.726492400937191,-9.109205753576926,-1.5994177251631332,0.10992068191548222,-0.0758483493490585,0.93955443605714,1.074026267300769,0.488394584139265,,
fut,XTIUSD,1990-2007,ltd,207,-13.900168092219285,7.571001911157995,-21.47117000337728,-1.9557626411027473,0.05171878778833128,-1.2975860345144818,0.19588078317059854,1.0021581039126852,0.46859903381642515,,
fut,XTIUSD,1990-2007,opt_exp,207,9.61565565676449,6.383160155169794,3.2324955015946957,0.2581951251555957,0.7964957604211446,0.7823676542892122,0.4348969237071993,1.1585508927017485,0.5072463768115942,,
fut,XTIUSD,1990-2007,roll_win,1028,6.531472186681496,6.540823200771282,-0.009351014089785219,-0.0016980349866800627,0.9986453620882704,1.3587023596572794,0.17453925879375878,1.0021564704630206,0.5077821011673151,,
fut,XTIUSD,1990-2007,dow0,814,1.8202160577091895,7.638778334534743,-5.818562276825554,-0.919728231421801,0.35790741739562676,0.3145739950806252,0.7531658373344691,1.0923920853923603,0.4864864864864865,,
fut,XTIUSD,1990-2007,dow1,887,-0.5938606525265858,8.389521777538665,-8.98338243006525,-1.669832221446883,0.09515658041574847,-0.12753486078069035,0.8985460228503033,0.8803793464617364,0.47350620067643745,,
fut,XTIUSD,1990-2007,dow2,886,8.097529898724437,6.134606477498163,1.9629234212262736,0.32946817508223664,0.741853564801469,1.5114151836310732,0.131039674170594,1.0464682171411412,0.5248306997742663,,
fut,XTIUSD,1990-2007,dow3,871,7.64740198678232,6.257351166671134,1.390050820111187,0.23469614494257313,0.8144809340606458,1.4387423374075428,0.15058318541136198,1.0245783670044224,0.5109070034443168,,
fut,XTIUSD,1990-2007,dow4,847,15.771465104952325,4.27709661450013,11.494368490452192,2.0020805758462683,0.04547793877628408,3.0927497128222705,0.002048214681077691,0.9568775076338591,0.5678866587957497,,
fut,XTIUSD,2008-2024,tom,771,4.017369980334267,1.1499554487273496,2.867414531606917,0.3459082024573875,0.7294779769630045,0.5308031291721695,0.5957082691503426,1.082353668806806,0.5110246433203631,,
fut,XTIUSD,2008-2024,eia,845,4.440041797524299,0.9733043904386469,3.4667374070856516,0.4515252445827321,0.6516858283596846,0.6481133888758571,0.5170878884963435,1.0119029176723389,0.5372781065088758,,
