name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start
crude_long_FebMay,1991-10-29,2024-03-28,32.4,0.03916695042855522,0.035722437862584444,0.0900146028919713,0.43511773834697043,0.3378099330268218,-0.3254095298463259,0.10977686449273415,-0.8846002945648493,2.4760054564949123,0.5343119266055046,1.8014803971992752,0.005863631708603443,0.5000952891968123,0.21319304844076728,0.33002450980392156,XTIUSD,fut,0.6269106434762963,0.2611730551105774,0.43,0.96,0.03,0.19,C_fixed_month_rule,1,1.0,
crude_long_FebMay,1990-08-23,2024-03-28,34.1,0.04076333757715876,0.03762207591391631,0.08738503653617086,0.46647960787068843,0.37396544000451193,-0.3382624734283146,0.11122154796721567,-0.729340114433696,2.723668527331809,0.523321554770318,1.3876509599901756,0.004669102426039986,0.5198117568978622,0.16886382582141862,0.3255732743568851,XBRUSD,fut,0.6130331213684685,0.330964038243742,0.55,0.84,0.18,0.2,C_fixed_month_rule,1,1.0,
crude_long_FebMay,1990-08-23,2024-03-28,34.4,0.03969790633844183,0.036692671676283206,0.08540846293096874,0.4648006178325396,0.3625474933351633,-0.3297877241143119,0.11126148426181168,-0.9166563577616618,2.7247419130460204,0.5316544246239944,,,,,,PORT,fut,0.6274684146310803,0.31387481302117803,0.49,0.91,0.12,0.23,C_fixed_month_rule,1,1.0,
crude_long_FebMay,1987-02-24,2026-09-22,36.7,0.027301336396511583,0.02360036106141017,0.0890472768284075,0.3065937260397167,0.2391897481701483,-0.34631423206209777,0.0681472456990401,-0.5637830084908825,1.8570194429213394,0.5191309987029832,1.191346565544117,0.004007123891668469,0.3515463529018383,0.13638053324560181,0.3292590589507842,XTIUSD,spot,0.337193683782247,0.2791487658049671,0.2,0.64,0.15,0.12,C_fixed_month_rule,1,1.0,
crude_long_FebMay,1988-06-01,2026-09-22,35.0,0.027062568311719867,0.023383386819074037,0.08879845201901149,0.30476396487098506,0.24374896747764788,-0.34647817545808535,0.06748877267134767,-0.2895927652638874,1.8041319055278455,0.5046891281695033,1.2730028309187618,0.004307949013621298,0.35322379594812503,0.14160734362036892,0.321594383422036,XBRUSD,spot,0.30178799359808667,0.30804115516897457,-0.01,0.87,0.32,-0.0,C_fixed_month_rule,1,1.0,
crude_long_FebMay,1987-02-24,2026-09-22,39.4,0.029801692257037358,0.026864315946431905,0.08107060610957809,0.367601695449967,0.29364983990287263,-0.34718788591132965,0.07737688161531345,-0.347331232766284,2.306972901060712,0.5218834892846362,,,,,,PORT,spot,0.4075739877811347,0.3319103913865735,0.17,0.81,0.28,0.08,C_fixed_month_rule,1,1.0,
crude_long_MarMay,1991-10-29,2024-03-28,32.4,0.028226761944654812,0.025341146753156796,0.07981778083675366,0.35364002417437856,0.23172845817199858,-0.3303418254362893,0.07671189296023359,-1.314616162494857,2.012362522422664,0.537613799712506,1.7429865527756188,0.0045398626432907,0.4103581453682593,0.16148924740680862,0.25183823529411764,XTIUSD,fut,0.6016407441359604,0.13083889227512532,0.65,0.74,-0.14,0.12,C_fixed_month_rule,1,1.0,
crude_long_MarMay,1990-08-23,2024-03-28,34.1,0.028461604688483747,0.02577318229530512,0.07748329583312283,0.36732568461958587,0.24790697820380694,-0.3304417759432542,0.07799613781197894,-1.1163663188098898,2.1447312799926608,0.5219216417910447,1.3701118756543758,0.0036539451479291386,0.4143379243402249,0.12704595161380783,0.24572226748923293,XBRUSD,fut,0.6406837985461954,0.11455343829503406,0.82,0.65,-0.08,-0.01,C_fixed_month_rule,1,1.0,
crude_long_MarMay,1990-08-23,2024-03-28,34.4,0.029096517587662785,0.02655318813817642,0.07583119037620287,0.3837011847409133,0.2515308425087591,-0.3249811020711406,0.0817068683961929,-1.3634813760655713,2.2493229570655457,0.5301426599171652,,,,,,PORT,fut,0.6582713205927567,0.12946620229240113,0.78,0.72,-0.11,0.06,C_fixed_month_rule,1,1.0,
crude_long_MarMay,1987-02-24,2026-09-22,36.7,0.020686904765595173,0.017639165801157874,0.0798662964421928,0.2590192069387911,0.17154800474404044,-0.29404094926248037,0.05998880715560468,-0.9826882547581359,1.5688634910718653,0.5189234650967199,1.1775770905711886,0.0031380838444150087,0.29825664800275975,0.10424237894829042,0.2528934559221201,XTIUSD,spot,0.37782300493099674,0.1494355799911599,0.39,0.44,-0.02,0.05,C_fixed_month_rule,1,1.0,
