strategy,instrument,period,net_sharpe,is_sharpe_1990_2007,oos_sharpe_2008_2024,gross_sharpe,cagr,max_dd,turnover_py,verdict,note
wf_seasonal_Nexp_sign,XTIUSD,1995-2024,0.24960655647837068,0.4476228680370214,0.10005580854014451,0.35235879851879276,0.02707131731286938,-0.4817976087953859,3.795912603120195,reject,
wf_seasonal_Nexp_sign,XBRUSD,1995-2024,0.366468197909498,0.43800154885110193,0.3136472427512777,0.4540968207588384,0.04569896616122926,-0.45321295917204907,3.0156188443494396,reject,
wf_seasonal_Nexp_sign,XNGUSD,1995-2024,0.02514107923447622,-0.12058376320294381,0.14024974384362496,0.10824010209495183,-0.00793183885337645,-0.5523908251728549,3.689082088727085,reject,
wf_seasonal_Nexp_sign,PORT(XTI+XBR+XNG),1995-2024,0.29733837681936215,0.37481849560479,0.2386691237828019,0.42172366494531266,0.027868753650737155,-0.2866423248526301,3.5002045120655736,reject,
wf_seasonal_Nexp_tstat,PORT(XTI+XBR+XNG),1995-2024,0.16585240796357625,0.29262727347404693,0.06392544994400924,0.2759807636527907,0.009436784721504443,-0.26846115022265293,2.91207319526781,reject,
wf_seasonal_N10_sign,PORT(XTI+XBR+XNG),2000-2024,-0.019899114124254307,0.37553176580519176,-0.20400769291413845,0.1078590610085402,-0.008385026251409577,-0.500399836620278,4.050568287788681,reject,
wf_seasonal_N5_sign,PORT(XTI+XBR+XNG),1995-2024,-0.30359336139767756,0.07732249529189818,-0.6065002227162918,-0.17021065187989512,-0.03910223989932915,-0.7667211961448259,4.930684952407321,reject,
wf_seasonal_N15_sign,PORT(XTI+XBR+XNG),2005-2024,-0.15631109286568382,-0.4262518684158667,-0.12254110439223657,-0.02385701542235034,-0.022506555142783546,-0.49311736057784583,3.6551403456730753,reject,
crude_long_FebMay (driving season),XTIUSD,1991-2024,0.43511773834697043,0.6269106434762963,0.2611730551105774,0.5000952891968122,0.035722437862584444,-0.3254095298463259,1.8014803971992752,marginal,
crude_long_FebMay (driving season),XBRUSD,1990-2024,0.46647960787068843,0.6130331213684685,0.330964038243742,0.5198117568978622,0.03762207591391631,-0.3382624734283146,1.3876509599901756,marginal,
crude_long_FebMay (driving season),PORT(XTI+XBR),1990-2024,0.4648006178325396,0.6274684146310803,0.31387481302117803,0.5258608487718667,0.036692671676283206,-0.3297877241143119,1.5945656785947255,marginal,
crude_short_OctDec (Q4 weakness),PORT(XTI+XBR),1990-2024,0.24774801041203887,0.2769756908517224,0.21627858013892476,0.30339368281053436,0.015616734395132115,-0.2648681365161686,1.5159419404658072,reject,"3 crash years (2014, 2018, 1993) make all of it"
crude_FebMay_long_OctDec_short,XTIUSD,1991-2024,0.449485311098168,0.6028077036380038,0.3048359026412877,0.5369056170481099,0.046495098955095626,-0.36233910243177536,3.1549484041448146,marginal,
crude_FebMay_long_OctDec_short,XBRUSD,1990-2024,0.5569239783371555,0.6864170610879946,0.42824882889559507,0.6276879973462451,0.06039819945076497,-0.39999095473597357,2.519596543042463,marginal,
crude_FebMay_long_OctDec_short,PORT(XTI+XBR),1990-2024,0.5159314939756972,0.6503235333381729,0.3838646883217008,0.597380791204764,0.053066976740776095,-0.3794547837818081,2.8372724735936385,marginal,
ng_long_AugOct,XNGUSD,1991-2024,0.02678759610729123,0.2954230434947148,-0.27792377332035123,0.07405839931420301,-0.0009020719160653945,-0.5319942052994879,1.0329881545030555,reject,
ng_long_SepNov,XNGUSD,1991-2024,-0.2120221764881412,-0.017600519074555655,-0.4053463047139926,-0.1671991820360786,-0.019949863870588502,-0.5135675958258603,1.0149094313659217,reject,
ng_short_JanApr,XNGUSD,1991-2024,-0.25501902281038474,-0.6139394133785988,0.11316295755595299,-0.20715718616729598,-0.0249046147601516,-0.687537709329892,0.9991525279728438,reject,
ng_AugOct_long_JanApr_short,XNGUSD,1991-2024,-0.1676437104254143,-0.2346347533616215,-0.09570324779965224,-0.1018605543773959,-0.025229200919411943,-0.7072592732519312,1.8694976315138414,reject,
ng_AugOct_JanApr_carry_filtered,XNGUSD,1991-2024,0.04521583723069224,-0.030855240654290045,0.11386515024756638,0.13985523433907884,0.0004949053732643538,-0.33651466292531096,4.724308745528778,reject,
ng_long_SepNov on Henry Hub SPOT (not tradeable),XNGUSD,1999-2026,0.39285002204066827,0.7367410960044292,0.32811727067512814,0.4194365596566912,0.030783105013784562,-0.19449379625812413,0.6861265869082971,not tradeable,spot has no roll cost; futures version is negative
carry_sign (side finding),XTIUSD,1991-2024,0.5511656094252284,0.5118222052448038,0.5899555717854985,0.682526381118323,0.07412249592411913,-0.4212392428395664,14.805804960377627,separate study,
carry_sign (side finding),XBRUSD,1990-2024,0.5298779579488639,0.6124081047398585,0.4323095273701933,0.6474300771075807,0.06495316132633477,-0.3863854381434645,14.846206600274277,separate study,
carry_sign (side finding),XNGUSD,1991-2024,-0.14631123629241433,-0.13384252276783687,-0.15836207925161958,-0.014992015680607434,-0.02907612580138097,-0.7055205704088783,10.115285670809586,separate study,
carry_sign (side finding),PORT(XTI+XBR+XNG),1990-2024,0.49043930195084906,0.5171690739755704,0.4605354714598601,0.6798023958143046,0.04227309445126459,-0.2998193850847789,13.255765743820497,separate study,
pre_holiday_long,XTIUSD,1991-2024,0.44369806476473805,0.5735888971398596,0.3323076985854705,0.5901254693836522,0.011085666927150406,-0.08159926580992904,11.311249360465123,marginal,in market ~9 days/yr
pre_holiday_long,XBRUSD,1990-2024,0.2969768659564198,0.2323322245408559,0.35496533544072056,0.4506540863943626,0.006665985399497032,-0.11717528367654328,9.309812050049603,marginal,in market ~9 days/yr
pre_holiday_long,PORT(XTI+XBR),1990-2024,0.3958992153483984,0.45667504981421836,0.3493020424194931,0.5560226030603863,0.008993655717894011,-0.09050100280818907,10.310530705257364,marginal,in market ~9 days/yr
ng_eia_day_walkforward_sign,XNGUSD,1991-2024,0.01259241774055864,-0.21213432054522216,0.2201288420138704,0.5377306940703015,-0.0015505174929799637,-0.2966083718912761,35.36747681553048,reject,effect real (t=-3.4) but 10bp/side cost eats it
turn_of_month_long,PORT(XTI+XBR+XNG),1990-2024,0.010548637893563658,0.3061268303454915,-0.27786388838886394,0.16579759933202595,-0.0009750536340052962,-0.4210084965505757,12.67189286732684,reject,
day_of_week_walkforward,PORT(XTI+XBR+XNG),1990-2024,-0.5398392434042303,-0.4742539589881286,-0.6071656888179765,0.1841534179115083,-0.057069650908371905,-0.8659687719428288,112.47245957379918,reject,
expiry_week_short,PORT(XTI+XBR+XNG),1990-2024,-0.181759508008778,-0.3700014064671451,0.0453431264132577,0.0180738303522758,-0.00926054410930377,-0.3350573763143776,12.680614887799043,reject,
trend_only (reference),PORT(XTI+XBR+XNG),1990-2024,0.5483262473087431,0.6287468431548074,0.45981260232388016,0.6524318365249335,0.06980182754276565,-0.33742565788466783,5.856319131099227,reference,
trend + 0.5 x crude seasonal,PORT(XTI+XBR+XNG),1990-2024,0.6530312002991178,0.7602275265174001,0.5378522301597073,0.757485794385752,0.09068324760530388,-0.34403093168277754,6.385337343245688,marginal (best add-on),
trend + 0.5 x walk-forward seasonal,PORT(XTI+XBR+XNG),1990-2024,0.5736251524552171,0.6606536928785064,0.4771244285895154,0.6795016735846906,0.0772770860597658,-0.3296380315617836,6.579240352291873,reject,
trend + 0.5 x pre-holiday (crude),PORT(XTI+XBR+XNG),1990-2024,0.5709958930812741,0.6514421317616605,0.4817798413704628,0.6801104191614307,0.07342343027176534,-0.3221753673985024,7.894701419225879,marginal,
trend + 0.5 x NG EIA-day,PORT(XTI+XBR+XNG),1990-2024,0.5603302263951355,0.616947625915181,0.4985027847083515,0.6864629180553384,0.07237576239489796,-0.3472171378289568,9.11169603805557,reject,
