name,sharpe_diff,daily_diff_t,years_overlay_better,n_years,corr_overlay_trend
trend+0.5xseasonal_wf_exp_tstat,0.025298905146473927,1.41085360899713,20,35,0.9751608238339634
trend+1.0xseasonal_wf_exp_tstat,0.01577800465628132,1.2751463119155173,20,35,0.9137960211314249
trend+0.5xseasonal_wf_N10_sign,-0.03568928151530437,0.17292652819525361,14,35,0.9530948207044084
trend+1.0xseasonal_wf_N10_sign,-0.10763359183404625,0.07008304578864658,14,35,0.8507065781345842
trend+0.5xcrude_FebMay_OctDec__ng_none,0.10470495299037463,3.227262365872828,24,35,0.9695639418561313
trend+1.0xcrude_FebMay_OctDec__ng_none,0.1557659132755912,3.121938535056581,24,35,0.8968597711811442
trend+0.5xpre_holiday_long__crude_only,0.022669645772530944,2.479583916152691,22,35,0.9983906646637989
trend+1.0xpre_holiday_long__crude_only,0.03996585140849018,2.4261834132735327,24,35,0.9945906389226559
trend+0.5xeia_day_wf__ng_only,0.012003979086392391,1.4535402906144919,17,35,0.9973211516340201
trend+1.0xeia_day_wf__ng_only,0.005281458814123563,0.763039232045743,15,35,0.9892491424437561
