sym,kind,window,period,slope,t_nw,n
XTIUSD,subwindow,14:00-14:05,is,-0.003578728637498391,-0.6535256819662776,2007
XTIUSD,subwindow,14:00-14:05,oos,0.0017033318728759863,0.2953022805304304,1839
XTIUSD,subwindow,14:00-14:05,full,-0.000540823744574613,-0.13505852730144868,3846
XTIUSD,subwindow,14:05-14:10,is,0.005683307019624244,1.1547342273313927,2007
XTIUSD,subwindow,14:05-14:10,oos,0.005201797116010678,1.3039663132723893,1839
XTIUSD,subwindow,14:05-14:10,full,0.005749066433495711,1.7963564889053207,3846
XTIUSD,subwindow,14:10-14:15,is,0.008316700104850113,1.69300100575648,2007
XTIUSD,subwindow,14:10-14:15,oos,0.009200699953201883,1.531055992033404,1839
XTIUSD,subwindow,14:10-14:15,full,0.008086050356903568,2.19293212967413,3846
XTIUSD,subwindow,14:15-14:20,is,0.003743349906720762,0.6146123009364813,2007
XTIUSD,subwindow,14:15-14:20,oos,0.006611036333290093,0.9927734334697221,1839
XTIUSD,subwindow,14:15-14:20,full,0.0051887858372680635,1.2135588380707578,3846
XTIUSD,subwindow,14:20-14:25,is,0.009675479644702958,1.3346784957616418,2007
XTIUSD,subwindow,14:20-14:25,oos,0.004245137943834395,0.6401276013304122,1839
XTIUSD,subwindow,14:20-14:25,full,0.006901243535898462,1.4241924023071093,3846
XTIUSD,subwindow,14:25-14:28,is,0.035912287373046685,4.648295256846184,2007
XTIUSD,subwindow,14:25-14:28,oos,0.014353549945061727,2.5129879180585637,1839
XTIUSD,subwindow,14:25-14:28,full,0.025941410054536544,5.177060525907655,3846
XTIUSD,subwindow,14:28-14:30,is,0.0030573324202306873,0.6853166258988297,2007
XTIUSD,subwindow,14:28-14:30,oos,0.0020216871048632564,0.3275451287542939,1839
XTIUSD,subwindow,14:28-14:30,full,0.0020075844127236506,0.5459615263889613,3846
XTIUSD,subwindow,14:30-14:35,is,-0.014163640953982006,-4.68687723578403,2007
XTIUSD,subwindow,14:30-14:35,oos,-0.011545158595096517,-2.790942493497548,1839
XTIUSD,subwindow,14:30-14:35,full,-0.013221540109160013,-5.340600885606872,3846
XTIUSD,subwindow,14:35-14:45,is,0.003608590647610129,1.2184803378688103,2007
XTIUSD,subwindow,14:35-14:45,oos,0.0011730247012207025,0.19778271147868376,1839
XTIUSD,subwindow,14:35-14:45,full,0.001668149205631538,0.5501028398646576,3846
XTIUSD,subwindow,14:45-15:00,is,0.00817199318772197,2.0591573300058603,1654
XTIUSD,subwindow,14:45-15:00,oos,-0.0027510687193691113,-0.6005791372740746,1839
XTIUSD,subwindow,14:45-15:00,full,0.0029737864547903607,0.992488990971425,3493
XTIUSD,quintile,Q1,is,-1.2893643140028965,,402
XTIUSD,quintile,Q2,is,8.703506770473547,,401
XTIUSD,quintile,Q3,is,-0.3008372126846416,,401
XTIUSD,quintile,Q4,is,4.664051147918548,,401
XTIUSD,quintile,Q5,is,15.332193860867177,,402
XTIUSD,quintile,Q1,oos,6.2731756503056415,,368
XTIUSD,quintile,Q2,oos,-0.3375216135415596,,368
XTIUSD,quintile,Q3,oos,1.9253878710610177,,367
