sym,event,time,window,n_events,rms_event_bps,rms_normal_bps,ratio_vs_normal,p99_abs_event_bps,p99_abs_normal_bps,share_event_gt_1pct,share_normal_gt_1pct
XTIUSD,crude,10:30,pre T-30->T,610,42.106788640916356,53.83122104771999,0.7822001400189263,139.3483022408984,177.71550306686214,0.027777777777777776,0.06107205623901582
XTIUSD,crude,10:30,T->T+1,684,59.8447478244933,11.415667613337279,5.242334469740063,196.12641875959133,40.301055161335675,0.08187134502923976,0.0
XTIUSD,crude,10:30,T->T+5,684,73.3831660841532,22.635624387320757,3.2419324878556677,251.9280914913793,76.7236498501351,0.14035087719298245,0.003954305799648506
XTIUSD,crude,10:30,T->T+15,684,83.21216049993869,38.420851044958326,2.1658073217214167,263.2388382328442,122.56058269785073,0.1915204678362573,0.02328646748681898
XTIUSD,crude,10:30,T->T+60,684,112.21596114480495,75.6415083027957,1.4835235793501154,318.95527678545363,273.9489747817213,0.30116959064327486,0.12785588752196836
XTIUSD,crude,10:30,T->14:30,684,180.85950850202076,154.26229058036972,1.1724155516010184,518.1630993828453,506.0598168715283,0.49122807017543857,0.3471001757469244
XTIUSD,crude,10:30,09:00->14:30,684,197.22384775752917,174.07746602754847,1.1329659849616474,542.1696679076855,573.4805049169045,0.5102339181286549,0.44991212653778556
XTIUSD,crude,10:35,pre T-30->T,29,48.573629060029994,53.0581018887031,0.9154799612304276,106.4542782689804,166.76128102165956,0.034482758620689655,0.06063268892794376
XTIUSD,crude,10:35,T->T+1,29,85.9889300516873,10.15909740227062,8.464229315536267,219.41340114277287,35.56919153312413,0.1724137931034483,0.0
XTIUSD,crude,10:35,T->T+5,29,111.28183034118896,20.93610488785013,5.315307261656358,320.7017515956334,71.37970001005553,0.20689655172413793,0.0035149384885764497
XTIUSD,crude,10:35,T->T+15,29,141.4369287378402,37.992488356009694,3.722760336530248,353.5940961882426,130.69652462355725,0.41379310344827586,0.02460456942003515
XTIUSD,crude,10:35,T->T+60,29,194.68245201714464,72.85571084537193,2.672164608074943,409.8758565933404,278.3758378589834,0.5517241379310345,0.12170474516695957
XTIUSD,crude,10:35,T->14:30,29,334.8775761707611,152.27003086071198,2.1992349661837802,1059.7285906689597,487.9115075093735,0.7586206896551724,0.3347978910369069
XTIUSD,crude,10:35,09:00->14:30,29,365.48734891758204,174.07746602754847,2.0995672631157336,1227.2642934136227,573.4805049169045,0.7241379310344828,0.44991212653778556
XTIUSD,crude,11:00,pre T-30->T,86,38.33086643683913,54.05227791567902,0.7091443305430138,102.22596398159419,193.79373633026682,0.011627906976744186,0.059314586994727594
XTIUSD,crude,11:00,T->T+1,86,63.94036141584962,11.797899265762357,5.419639545610065,218.7069121208582,40.931727532049514,0.09302325581395349,0.0008787346221441124
XTIUSD,crude,11:00,T->T+5,86,80.18410666954452,21.66687384858499,3.70076953555444,263.23473651941396,79.26516977723101,0.11627906976744186,0.003954305799648506
XTIUSD,crude,11:00,T->T+15,86,101.53378104295696,35.446527374010294,2.8644211031347013,341.16804408985,115.11263574184582,0.1744186046511628,0.018892794376098417
XTIUSD,crude,11:00,T->T+60,86,120.47274897279826,67.94047413456396,1.7732103066308909,342.9973202658294,217.81296554639832,0.27906976744186046,0.1063268892794376
XTIUSD,crude,11:00,T->14:30,86,170.85548992926604,139.89301367950253,1.2213296821290813,577.5430705122238,426.03920042438335,0.46511627906976744,0.30799648506151145
XTIUSD,crude,11:00,09:00->14:30,86,191.40907498037876,174.07746602754847,1.0995626220230452,601.9549683578794,573.4805049169045,0.47674418604651164,0.44991212653778556
XTIUSD,gas,10:30,pre T-30->T,645,55.72357581604085,53.83122104771999,1.035153480294332,192.37713496376463,177.71550306686214,0.0584144645340751,0.06107205623901582
XTIUSD,gas,10:30,T->T+1,718,17.143209016935597,11.415667613337279,1.5017263639409624,60.477734113730804,40.301055161335675,0.004172461752433936,0.0
XTIUSD,gas,10:30,T->T+5,718,38.27485395609007,22.635624387320757,1.6909122231914024,93.25100468161695,76.7236498501351,0.009735744089012517,0.003954305799648506
XTIUSD,gas,10:30,T->T+15,718,70.97418399261338,38.420851044958326,1.8472829742777594,123.00475733124034,122.56058269785073,0.02364394993045897,0.02328646748681898
XTIUSD,gas,10:30,T->T+60,718,81.0920712204911,75.6415083027957,1.0720578296228125,278.2226124601464,273.9489747817213,0.1376912378303199,0.12785588752196836
XTIUSD,gas,10:30,T->14:30,718,165.1680729802017,154.26229058036972,1.0706963598090107,557.01209036159,506.0598168715283,0.37273991655076494,0.3471001757469244
XTIUSD,gas,10:30,09:00->14:30,719,189.37337556419124,174.07746602754847,1.0878684064382125,629.3476170271546,573.4805049169045,0.45479833101529904,0.44991212653778556
XTIUSD,gas,10:35,pre T-30->T,26,82.43294165775895,53.0581018887031,1.5536353303907053,202.72339525409578,166.76128102165956,0.2692307692307692,0.06063268892794376
XTIUSD,gas,10:35,T->T+1,26,30.664680748952073,10.15909740227062,3.0184453928060906,71.6782229602541,35.56919153312413,0.0,0.0
XTIUSD,gas,10:35,T->T+5,26,38.23779613221086,20.93610488785013,1.8264044977345062,80.24639829222833,71.37970001005553,0.0,0.0035149384885764497
XTIUSD,gas,10:35,T->T+15,26,55.5344164103031,37.992488356009694,1.4617209562563072,117.11597159017484,130.69652462355725,0.038461538461538464,0.02460456942003515
XTIUSD,gas,10:35,T->T+60,26,124.23257524488461,72.85571084537193,1.705186509106394,379.05464623779034,278.3758378589834,0.34615384615384615,0.12170474516695957
XTIUSD,gas,10:35,T->14:30,26,255.4476288008913,152.27003086071198,1.6775962240039233,573.9989151438378,487.9115075093735,0.6923076923076923,0.3347978910369069
XTIUSD,gas,10:35,09:00->14:30,26,351.0666308660183,174.07746602754847,2.0167264544766557,655.8679758893496,573.4805049169045,0.8846153846153846,0.44991212653778556
XNGUSD,gas,10:30,pre T-30->T,645,55.76379741168635,56.35065642682429,0.989585586888415,181.63995210770432,178.86710181222685,0.06815020862308763,0.06285714285714286
XNGUSD,gas,10:30,T->T+1,718,139.61196197260625,17.16160280734961,8.135135368172964,456.6664828125942,48.918137402411695,0.41168289290681503,0.0035164835164835165
XNGUSD,gas,10:30,T->T+5,718,158.19204571096233,27.857552403748986,5.678605335394552,521.1984905473785,89.12349642880162,0.44506258692628653,0.009230769230769232
XNGUSD,gas,10:30,T->T+15,718,168.5296353622916,43.41513203866289,3.8818178696821493,516.3901304582816,145.08650303488696,0.44923504867872044,0.03164835164835165
XNGUSD,gas,10:30,T->T+60,718,199.09182898922563,76.52725118797082,2.6015808211927585,621.1490585458293,259.7521952774334,0.5577190542420027,0.14813186813186813
XNGUSD,gas,10:30,T->14:30,718,265.3672099584047,164.08519245115215,1.6172526356234371,806.6022256667222,549.898613556957,0.6342141863699583,0.43648351648351646
XNGUSD,gas,10:30,09:00->14:30,719,281.59604457287713,208.8743235849363,1.348160174691694,909.6557054214383,634.8119376655546,0.6662030598052852,0.5542857142857143
XNGUSD,gas,10:35,pre T-30->T,26,88.16154806880196,58.566735568905706,1.5053177748839524,218.2693113168641,175.38468047927987,0.19230769230769232,0.08879120879120879
