sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,weekday
XTIUSD,close_to_close,is,383,-12.448143063155655,234.83855609817505,-1.037372083070318,-0.8414638050123731,Mon
XTIUSD,close_to_close,oos,348,-50.557754561998365,306.44212447933165,-3.077718780823782,-2.6190246326773026,Mon
XTIUSD,close_to_close,full,731,-30.59061201198912,271.77103731141045,-3.043292405688351,-1.786838346815781,Mon
XTIUSD,close_to_close,is,413,0.8429504743395995,222.19974349959196,0.07709629929260291,0.06022249947333381,Tue
XTIUSD,close_to_close,oos,378,-9.473510951938268,273.0123659026013,-0.674643814539984,-0.5508443679159358,Tue
XTIUSD,close_to_close,full,791,-4.087039941757786,247.67921985660374,-0.4640957086912991,-0.261950710855908,Tue
XTIUSD,close_to_close,is,415,8.175309708486337,246.43737124043213,0.6758054581606737,0.5266206891604288,Wed
XTIUSD,close_to_close,oos,378,4.257179864621448,251.70703894938842,0.3288308375195129,0.26848925453828293,Wed
XTIUSD,close_to_close,full,793,6.307651346593616,248.81335226725201,0.7138888369372204,0.40243363150535083,Wed
XTIUSD,close_to_close,is,408,8.881881098652839,232.93808374107368,0.770184081341543,0.6052917114472757,Thu
XTIUSD,close_to_close,oos,371,5.589168930069925,233.90166318812734,0.4602575072972947,0.3793273845838455,Thu
XTIUSD,close_to_close,full,779,7.313721644809114,233.25318525959722,0.8751441078093367,0.4977498234541864,Thu
XTIUSD,close_to_close,is,388,12.971796023734564,217.78229306438408,1.17325768476408,0.9455354479120649,Fri
XTIUSD,close_to_close,oos,365,5.855438893313371,220.14334711781643,0.5081598169853252,0.42223493005813373,Fri
XTIUSD,close_to_close,full,753,9.522300203543681,218.81317547695966,1.1941692625044615,0.690825994174079,Fri
XTIUSD,intraday_0900_1430,is,384,-1.9166089842369218,178.28833702680353,-0.21065714678167113,-0.17065179306980685,Mon
XTIUSD,intraday_0900_1430,oos,348,-5.873968728736527,155.03008358759112,-0.7068142080689842,-0.601472698933035,Mon
XTIUSD,intraday_0900_1430,full,732,-3.7979767316219815,167.53254129883797,-0.6133504155856428,-0.35987642182867186,Mon
XTIUSD,intraday_0900_1430,is,413,-7.987166796725637,175.169543522675,-0.9266360275328883,-0.7238264118006207,Tue
XTIUSD,intraday_0900_1430,oos,378,-20.372259684343888,199.76835160220872,-1.9827064406742796,-1.6188730297939307,Tue
XTIUSD,intraday_0900_1430,full,791,-13.905706760720198,187.31048231183163,-2.08794582717891,-1.1785045270089918,Tue
XTIUSD,intraday_0900_1430,is,415,2.8813069394102824,205.9575439611375,0.284994100040972,0.22208135130887063,Wed
XTIUSD,intraday_0900_1430,oos,378,-0.2207198482977121,207.84077723568973,-0.020646979714485446,-0.016858188343361485,Wed
XTIUSD,intraday_0900_1430,full,793,1.40266113139815,206.7324338147258,0.19106482405606243,0.10770712051990515,Wed
XTIUSD,intraday_0900_1430,is,408,-2.409072462339459,181.7203011047618,-0.26777898872446787,-0.2104489125409183,Thu
XTIUSD,intraday_0900_1430,oos,371,-4.498486233910788,208.14856121906007,-0.416274624132244,-0.3430783027700015,Thu
XTIUSD,intraday_0900_1430,full,779,-3.404159123768167,194.63057752785937,-0.488165979566493,-0.2776508782694103,Thu
XTIUSD,intraday_0900_1430,is,388,11.7718510612001,170.34342362173123,1.361241716300595,1.0970329132748726,Fri
XTIUSD,intraday_0900_1430,oos,365,4.43769484657828,159.67974789460396,0.5309504938387362,0.44117192492771307,Fri
XTIUSD,intraday_0900_1430,full,753,8.216781979743306,165.19163670477334,1.3649325658873936,0.7896124330249309,Fri
