sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,slope
XTIUSD,asia,is,1987,1.4471034780485195,61.97975533631218,1.0407553770623292,0.37063804819989865,
XTIUSD,asia,oos,1835,2.9328427834693147,86.16021865656383,1.45814268968909,0.5403588403441772,
XTIUSD,asia,full,3822,2.1604293873753537,74.56785887546735,1.7911573704732708,0.4599267542593757,
XTIUSD,london,is,2007,-1.5161580889193964,90.5919117645061,-0.7497711903960408,-0.2656778407746111,
XTIUSD,london,oos,1840,-2.7701867066668373,110.27020843820817,-1.0776053947185342,-0.3987962958371232,
XTIUSD,london,full,3847,-2.115953424675906,100.47455664689203,-1.3062042684943826,-0.3343106992049252,
XTIUSD,ny_pre,is,2007,-0.7035781807326655,56.04835264186206,-0.562371361728735,-0.19927360641670908,
XTIUSD,ny_pre,oos,1840,-3.1447429389785566,57.042374958021774,-2.3648111429095553,-0.875160730234663,
XTIUSD,ny_pre,full,3847,-1.8711745298806872,56.531765858711005,-2.052971114770665,-0.5254386510446832,
XTIUSD,ny_main,is,2008,0.3713353037707875,182.89347872705403,0.09098082578800874,0.03223059259304693,
XTIUSD,ny_main,oos,1840,-5.368188671042751,188.1665533143279,-1.2237543618637312,-0.45288257549346206,
XTIUSD,ny_main,full,3848,-2.3731356197367264,185.4316246159649,-0.7938826054399685,-0.2031603840042704,
XTIUSD,post,is,2008,0.5132988717053758,44.77920241164865,0.5136600740280738,0.18196766663658043,
XTIUSD,post,oos,1840,2.5677364604879283,61.85803584602443,1.780587144349668,0.658953231917813,
XTIUSD,post,full,3848,1.4956702759049323,53.63138222562603,1.7299533992841039,0.44270776875539924,
XTIUSD,break_gap_tue_fri,is,1621,2.137301848724682,33.7455294376783,2.550005532075867,1.0054254763756019,
XTIUSD,break_gap_tue_fri,oos,1489,0.7270695009368741,26.11631707784778,1.0742647945705464,0.44194097037605834,
XTIUSD,break_gap_tue_fri,full,3110,1.462113435266146,30.336613614257757,2.6877827490657173,0.7650930168018109,
XTIUSD,weekend_gap,is,365,10.944982036585154,52.532721352968025,3.98044462231154,3.307390117291629,
XTIUSD,weekend_gap,oos,346,-17.201034534958954,219.41453877524765,-1.4582339863970795,-1.2444843425572203,
XTIUSD,weekend_gap,full,711,-2.7519542978090237,158.13385274096157,-0.46403545608722013,-0.2762591272601831,
XTIUSD,overnight_1430_0900,is,2007,3.4532867233347377,134.3128044080995,1.1518313852028175,0.40814595076061994,
XTIUSD,overnight_1430_0900,oos,1840,-3.0308810220221787,176.69841158058944,-0.7357752152047172,-0.27229302287322404,
