sym,year,pick,dir,trailing_t
XTIUSD,2008,ny_pre,short,-4.145369064404914
XTIUSD,2009,ny_pre,short,-3.1745536757913104
XTIUSD,2010,ny_pre,short,-2.522012642007902
XTIUSD,2011,post,short,-2.9093451514383144
XTIUSD,2012,post,short,-4.431242779377595
XTIUSD,2013,post,short,-4.206624641247125
XTIUSD,2014,ny_pre,short,-4.780591474509714
XTIUSD,2015,post,short,-6.9761178031817
XTIUSD,2016,ny_pre,short,-6.849389620674527
XTIUSD,2017,ny_pre,short,-5.422589371437165
XTIUSD,2018,ny_pre,short,-5.022641568275322
XTIUSD,2019,post,short,-3.220142358781297
XTIUSD,2020,post,short,-3.619679318889287
XNGUSD,2008,ny_pre,short,-8.41291550926226
XNGUSD,2009,ny_pre,short,-8.835652721759876
XNGUSD,2010,ny_pre,short,-9.427232268881234
XNGUSD,2011,ny_pre,short,-9.327675555504285
XNGUSD,2012,asia,short,-9.644698130322634
XNGUSD,2013,asia,short,-10.835142450240465
XNGUSD,2014,asia,short,-11.426909523609826
XNGUSD,2015,asia,short,-9.96393998197803
XNGUSD,2016,asia,short,-10.302094646157286
XNGUSD,2017,post,short,-8.94024882419227
XNGUSD,2018,post,short,-8.108039116500985
XNGUSD,2019,post,short,-7.824782124392554
XNGUSD,2020,ny_pre,short,-8.216901698653972
