sym,year,sessions,bar_coverage_0900_1430,ac1_1min_0900_1430,median_abs_dprice,median_price,share_no_data_0930_1000,share_no_data_1430_1500,abs_r_0900_vs_midday,abs_r_1000_vs_midday,eia_spike_offset_min_wed,eia_spike_offset_min_thu
XTIUSD,2005,243,0.8284200024940765,-0.14615188971813334,0.04999999999999716,57.157,1.0,1.0,0.3757750861788586,,0.0,1.0
XTIUSD,2006,246,0.8930155210643016,-0.10515992124931708,0.04899999999999949,64.768,0.4349593495934959,0.43902439024390244,0.5072303676325097,1.211182921856615,0.0,0.0
XTIUSD,2007,258,0.9912849424477331,-0.012662746423869227,0.03100000000000591,69.792,0.0,0.0,1.5739362970386064,1.180083926303919,0.0,0.0
XTIUSD,2008,258,0.9966055907916374,-0.006053933689924871,0.06900000000000261,105.024,0.0,0.0,1.676906683335557,1.1202907227764864,5.0,5.0
XTIUSD,2009,252,0.9995430495430495,-0.021237703125425802,0.04000000000000625,66.395,0.0,0.0,1.7182868540290435,1.763593442840422,0.0,0.0
XTIUSD,2010,251,0.9998913437160449,-0.023669292752772814,0.03900000000000148,79.385,0.0,0.0,1.925877054096542,1.9064558160057736,0.0,-15.0
XTIUSD,2011,251,0.9999637812386817,-0.019219974317658196,0.04999999999999716,95.548,0.0,0.0,2.035066578460817,1.7868985168610778,0.0,1.0
XTIUSD,2012,249,0.999659243032737,-0.03218422248193852,0.03900000000000148,92.7255,0.0,0.004016064257028112,2.4464349131995653,1.8319082731533662,0.0,5.0
XTIUSD,2013,249,0.9994888645491055,-0.014316360148299373,0.030000000000001137,96.135,0.0,0.0,3.0031201737839046,1.523673438711164,0.0,5.0
XTIUSD,2014,249,0.9975781915540952,-0.005406821062492707,0.025000000000005684,98.043,0.004016064257028112,0.0,2.33866295895453,1.2605618281493483,0.0,-4.0
XTIUSD,2015,249,0.9999148107581842,-0.016151040493852343,0.030000000000001137,47.524,0.0,0.0,2.0740708292381043,2.006155141918824,0.0,-1.0
XTIUSD,2016,251,0.9992756247736327,-0.009956680341397912,0.021999999999998465,44.774,0.0,0.0,2.064366936263072,1.621118345547979,0.0,0.0
XTIUSD,2017,250,0.9943878787878788,-0.017702598095941373,0.01999999999999602,50.18,0.0,0.0,2.147793138478815,1.457706716669188,0.0,-8.0
XTIUSD,2018,250,0.9996,-0.026228051917525724,0.025000000000005684,66.281,0.0,0.0,1.6496994300884797,1.4739801049908212,0.0,-4.0
XTIUSD,2019,250,0.999539393939394,-0.0020695181114770184,0.027000000000001023,56.719,0.0,0.0,1.8570007699745885,1.846221005951905,0.0,-7.0
XTIUSD,2020,92,0.9997035573122529,0.026201555938525387,0.030000000000001137,33.511,0.0,0.0,1.6202547619411132,1.4758783673736007,0.0,0.0
XNGUSD,2005,243,0.7777777777777778,-0.09296128868804049,0.009999999999999787,7.516500000000001,1.0,1.0,1.0232377485178674,,0.0,0.0
XNGUSD,2006,246,0.8121458487312145,-0.10811190862235963,0.009999999999999787,6.828,0.4349593495934959,0.44715447154471544,0.7108004503135609,1.3246776082869587,0.0,0.0
XNGUSD,2007,256,0.963873106060606,-0.03135107928665326,0.004999999999999893,7.127,0.0,0.00390625,1.6031062459630352,1.0417435592113247,0.0,0.0
XNGUSD,2008,258,0.9802795395818652,-0.018813540500630672,0.006000000000000227,8.44,0.0,0.003875968992248062,2.0274875697604124,1.028850955176932,5.0,5.0
XNGUSD,2009,252,0.9737012987012987,-0.041381826261342194,0.0040000000000000036,4.005,0.0,0.0,2.7044018203979614,1.4393562475410886,0.0,0.0
XNGUSD,2010,251,0.9531449957744779,-0.054131816617916585,0.0030000000000001137,4.239,0.0,0.0,2.0594206905476207,1.190762850086877,1.0,0.0
XNGUSD,2011,251,0.9128214415067005,-0.06127168079214043,0.002000000000000668,4.052,0.0,0.0,2.574954486301725,1.1670431004290385,12.0,0.0
XNGUSD,2012,249,0.8544967749787027,-0.048656666675080465,0.002000000000000224,2.758,0.0,0.0,2.475225721922059,1.178284854067546,15.0,0.0
XNGUSD,2013,249,0.6832663989290495,-0.06438452277440244,0.002000000000000224,3.661,0.0,0.008032128514056224,1.7634884560909714,1.1884046122064742,-15.0,0.0
XNGUSD,2014,249,0.897651210904223,-0.007932489529145081,0.0029999999999992255,4.366,0.004016064257028112,0.0,2.0610565671709398,1.0985197186147333,-12.0,0.0
XNGUSD,2015,249,0.7455762443714251,-0.04677885678070051,0.002000000000000224,2.702,0.0,0.0,2.1291052263270918,1.1162276938942532,2.0,0.0
XNGUSD,2016,251,0.7702040323554268,-0.026964810710494943,0.002000000000000224,2.588,0.0,0.0,1.9082833680765716,1.219313457825049,-5.0,0.0
XNGUSD,2017,250,0.7044121212121213,-0.04212223397299123,0.002000000000000224,2.983,0.0,0.0,1.9264689317345711,1.1367253320628627,-3.0,0.0
XNGUSD,2018,250,0.7435151515151515,-0.039435239558029876,0.002000000000000224,2.944,0.0,0.0,2.294971037218844,1.4369295588639868,9.0,0.0
XNGUSD,2019,250,0.7810545454545454,-0.04991868658213425,0.002000000000000224,2.522,0.0,0.0,2.3354622109860106,1.2766633534189726,2.0,0.0
XNGUSD,2020,92,0.888076416337286,0.007513666155093614,0.0020000000000000018,1.825,0.0,0.0,2.883412460402367,1.3564268349098756,-12.0,0.0
