fam,sym,trials,oos_net_pos,oos_gross_pos,median_oos_net,median_oos_gross,best_is
A,XNGUSD,486,0.0,0.7366255144032922,-2.536774558369804,0.28545943883336705,0.2757364732069797
A,XTIUSD,486,0.11934156378600823,0.9156378600823045,-0.453606856965612,0.4394051160783808,0.4026909796917906
B,XNGUSD,44,0.0,0.7954545454545454,-2.6963498488183273,0.4631073413051009,-0.006834712589377
B,XTIUSD,44,0.38636363636363635,0.9545454545454546,-0.18372851445687444,0.806265416393146,0.8755685532022145
C,XNGUSD,50,0.02,0.44,-1.190689692496035,-0.04476804244201425,0.6883278571343591
C,XTIUSD,50,0.18,0.62,-0.2438026900883184,0.1121347579486984,0.367866750337279
D,XNGUSD,32,0.0625,0.53125,-1.605547336195957,0.0693322030550628,0.4880196038538411
D,XTIUSD,32,0.1875,0.53125,-0.5051124016092918,0.07228900108295234,0.2986022302138637
E,XNGUSD,32,0.0,0.375,-5.229309383475895,-0.09366436451503785,-0.5706599818227668
E,XTIUSD,32,0.0,0.25,-2.048174914740697,-0.29605405994942197,0.0182001648164786
