sub,sym,best_config,n_trials_sub,n_trials_family,is_sharpe,oos_sharpe,full_sharpe,is_gross_sharpe,oos_gross_sharpe,full_gross_sharpe,full_trades_py,oos_trades_py,full_avg_bps,oos_avg_bps,full_avg_gross_bps,full_hit,oos_hit,full_max_dd,full_t_stat,oos_t_stat,full_ann_ret,full_ann_vol,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x,oos_ex2020_sharpe,full_ex2020_sharpe,sr0_is_family,dsr_is_family,dsr_full_family,dsr_full_global,dsrN_is_family,dsrN_full_family,dsrN_full_global,share_family_trials_oos_net_pos,full_ci_lo,full_ci_hi,oos_ci_lo,oos_ci_hi
D3 Sunday-gap,XTIUSD,sunday_gap|fade|09:00|thr0.005,8,32,0.1091832051480555,1.0112402613063236,0.6065571045944081,0.1853916206610004,1.077908055421175,0.6776940822178457,6.745322245322245,7.943478260869566,55.93704868050128,91.59228856116977,62.93704868050129,0.5825242718446602,0.6206896551724138,-0.1077744486063274,2.3702216202417223,2.732517759857374,0.0377313418802258,0.0622057537442513,0.1853916206610004,1.077908055421175,0.6776940822178457,0.032643293004553,0.9426390217182544,0.5339886961029195,0.9120910505917263,0.40500016369568964,1.334386412359845,0.000268018179580308,0.00019800994596447022,1.9787898998835202e-50,0.036404172140669294,0.6313832792398024,0.11733604358595628,0.1875,0.15512683702496244,0.9835998616648001,0.49810569805383703,1.4716642260724693
B  intraday momentum,XTIUSD,mom|on930|q0.8|14:30,44,44,0.8755685532022145,0.5290096478411942,0.6834320810352172,1.3395757085326685,0.9388680304435368,1.1156655577909635,54.94490644490645,58.06956521739131,9.35135619302909,7.673481369631735,15.35135619302909,0.5208581644815257,0.4834905660377358,-0.2027265519327887,2.6706232309646225,1.42946074555479,0.0513809391158979,0.0751807539354453,1.3395757085326685,0.9388680304435368,1.1156655577909635,0.4026814228646759,0.1155741858982468,0.2456424402188284,0.2050614873981397,0.6130568399707689,1.3178655029352502,0.09791823231273289,0.024168738885247367,4.112511209321256e-36,0.5998323317768524,0.6822970911559691,0.24145211705909458,0.38636363636363635,0.2105265624964072,1.0921252712340155,-0.28975060568248995,1.068553975357545
C1 EIA continuation,XNGUSD,eia_cont|w15|k2|14:30,16,50,0.3551003018148155,0.3579862268583646,0.3477936879780836,0.6572026441810215,0.7728002887288381,0.6844246848237168,8.911076443057722,8.354347826086956,22.85091285047535,18.83962483372708,45.85091285047534,0.5882352941176471,0.6065573770491803,-0.1056948168027096,1.358707790019718,0.9673306731391066,0.0203626231204235,0.0585479950450013,0.6572026441810215,0.7728002887288381,0.6844246848237168,0.0426091334872629,-0.079618424825594,-0.0022841315979255,0.3672857812943859,0.35203056501015817,1.6970462622380211,6.294763151028412e-05,2.109533001966192e-06,1.494077828907697e-39,0.09831462050608125,0.17721002129417812,0.02353702873294727,0.02,-0.09911288664557268,0.7748219752954779,-0.3165343118915883,1.0455426354859667
A2 ORB Crabel stretch,XTIUSD,stretch|09:00|k0.5|16:55|none|none,36,486,0.4026909796917906,0.1727705030513304,0.2938204426153801,1.0160917835181686,0.7991017962499448,0.9133829622012836,251.6725571725572,252.0,3.3196605303953635,1.9309166482534428,10.319660530395366,0.5087171480614103,0.5032608695652174,-0.4761244497586976,1.148151691375616,0.4668509413948714,0.0835467454629409,0.2843462650837612,1.0160917835181686,0.7991017962499448,0.9133829622012836,-0.2107143290866136,-0.4535607901472833,-0.325743824347854,0.058903549462847746,0.25314607355575963,1.2542784190633423,0.008238079246085944,0.003297109680490235,4.1757129947471905e-40,0.0284868087962567,0.02898855594916152,0.014692221688009335,0.11934156378600823,-0.18186626383018115,0.740462778441473,-0.5135173246696034,0.864124842435225
D2 day-of-week hold,XNGUSD,dow|Thu_0900_1430|short,10,32,0.4880196038538411,0.1370739879293502,0.3459519284351385,0.928900006012325,0.7673949518143105,0.8525664180676226,50.97659906396255,50.673913043478265,13.548073946573629,4.325491972776296,33.548073946573645,0.5218508997429306,0.5081081081081081,-0.4284784600127872,1.351512682331334,0.3703937835184397,0.0690634733663401,0.1996331504169909,0.928900006012325,0.7673949518143105,0.8525664180676226,0.0426558298676649,-0.4958314490297874,-0.1648702678578979,0.12470578549092005,0.34628349613156706,3.614004336025049,2.5776263178688337e-18,1.5960310263307065e-36,3.0758769044584707e-38,0.23898723706567815,0.2291846776078162,0.025196283187645666,0.0625,-0.1361213517589665,0.8242016473096823,-0.5908775130862682,0.8369010606564256
D4 walk-forward session pick,XTIUSD,session_walkforward|sessions,2,32,-1.1532324615709746,0.0458187472248349,-0.2602724454200533,-0.5520416553012464,0.585413778468354,0.2417049460020752,104.84719334719334,149.4195652173913,-3.2727454045160043,0.5480445532219143,3.0399872197855875,0.4378513429106808,0.456461961503208,-0.6448816306558214,-1.0170573761563706,0.1238088961811534,-0.0343138170203427,0.1318380705455153,-0.5520416553012464,0.585413778468354,0.2417049460020752,-1.7399824185883233,-0.494105984140228,-0.761401759722395,-0.3250932625817838,-0.5519320593723297,1.334386412359845,1.5598814231588335e-12,2.6484480552023026e-10,3.825749828531684e-53,5.253677906108535e-08,0.0009587769676215732,7.671039927554976e-06,0.1875,-0.7955596431693284,0.24800816928319191,-0.7800351246239584,0.7299024251608528
D2 day-of-week hold,XTIUSD,dow|Fri_0900_1430|long,10,32,0.2986022302138637,-0.0253557331348308,0.149118453047653,0.5411761867738347,0.242131555657373,0.4031384901029526,49.31288981288981,49.98913043478261,3.515806872321584,-0.5685141899806242,9.51580687232159,0.5059760956175299,0.4931506849315068,-0.2798313013879826,0.5827048743034471,-0.068514866106722,0.0173374596898195,0.1162663596320912,0.5411761867738347,0.242131555657373,0.4031384901029526,0.0551502489773909,-0.2927557496013965,-0.1053734466296003,0.34256236472866114,0.3159001327754406,1.334386412359845,0.0014238676887738657,1.6200870413191667e-06,9.894671602337135e-44,0.09970179561274001,0.06393296400785833,0.0029487274353181504,0.1875,-0.3799751430686314,0.6634591438197671,-0.768547996215589,0.7145686864594034
D3 Sunday-gap,XNGUSD,sunday_gap|follow|09:00|thr0.005,8,32,-0.2284951762246651,-0.2452832325874505,-0.2363787488619884,0.4850134887441163,0.5826164532114902,0.5339972606432184,25.881435257410292,30.267391304347825,-7.037669606770169,-6.794674141628391,15.96233039322982,0.5037974683544304,0.5113122171945701,-0.438636897079494,-0.923448753026642,-0.6627908469295084,-0.0182144990290666,0.0770564152520382,0.4850134887441163,0.5826164532114902,0.5339972606432184,-0.9277513724685597,-1.0588132415600795,-0.992475663754186,-0.19201030742598796,-0.2095606679401975,3.614004336025049,5.327274469582673e-30,1.9469317330897396e-53,1.3480816517186628e-55,0.0020794090046972755,0.0009655052468599845,6.544549376510628e-06,0.0625,-0.6949136649652824,0.257877826174751,-0.8703790780826953,0.4503697694816873
C1 EIA continuation,XTIUSD,eia_cont|w5|k1|14:30,16,50,-0.0308518587872931,-0.3149517275555911,-0.1640294965058911,0.1538668899475175,-0.1119095994354151,0.0293839917714734,26.326403326403327,27.117391304347827,-5.936937465912129,-10.849608803170142,1.0630625340878723,0.5124378109452736,0.5252525252525253,-0.3483271031289245,-0.640972228386642,-0.8510452184050437,-0.0156298210251237,0.0952866487922335,0.1538668899475175,-0.1119095994354151,0.0293839917714734,-0.2154598251551799,-0.5167156168948505,-0.3568182825107519,-0.34708896781280774,-0.1752805211020185,0.6202202900544871,0.03347484369367063,0.0029795685053472004,5.509437603252241e-51,0.009225377679500522,0.0017885049187191674,3.717356540601819e-05,0.18,-0.6229397964240183,0.30725623441298594,-0.9391690747734632,0.38396722020001006
A1 ORB opening range,XTIUSD,orb|09:30|30|16:55|opp|narrow0.75,450,486,0.3284597957420059,-0.3308740583602921,0.0287606077433651,0.8375765573914025,0.3451255433498312,0.6135102105710156,68.04261954261953,74.50434782608696,0.3777142250546916,-3.7674752455428897,8.04855156865431,0.2925890279114533,0.2775735294117647,-0.3142638264181643,0.1123868037621926,-0.8940696640950976,0.0025700665311231,0.0893606475237324,0.8375765573914025,0.3451255433498312,0.6135102105710156,-0.1808928767954596,-0.9980077385352024,-0.5527020301117224,-0.29693068127611877,0.06516382389527338,1.2542784190633423,0.002517178745283203,8.07337420242361e-05,8.561637421688573e-47,0.011523406062561458,0.001602017283848756,0.0006158956370853592,0.11934156378600823,-0.4877688352162314,0.5044912210405088,-1.0978875575313343,0.3541140549020022
