fam,sym,strategy,year,net_ret,gross_ret,sharpe,trades,avg_bps,hit
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2005,-0.008423722021062792,0.007776277978937207,-0.2394385298024211,27,-3.11989704483807,0.5555555555555556
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2006,-0.02232568832276113,0.004674311677238863,-0.5762616175965476,45,-4.961264071724695,0.4666666666666667
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2007,0.06828749754601443,0.10728749754601441,1.223032392351387,65,10.505768853232988,0.6
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2008,0.2654365311320107,0.3260365311320107,2.4401739745372004,101,26.280844666535717,0.6633663366336634
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2009,0.1482861779190358,0.17168617791903584,1.394980545561201,39,38.0220969023169,0.6410256410256411
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2010,0.017241610342483043,0.04064161034248304,0.476550854253576,39,4.420925728841806,0.5641025641025641
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2011,0.0009829829355263928,0.03998298293552638,0.016407460410764362,65,0.15122814392713468,0.5076923076923077
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2012,-0.010262215008491244,0.010137784991508747,-0.3840538827968841,34,-3.0182985319091906,0.29411764705882354
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2013,-0.05927772967353362,-0.03707772967353362,-2.507310113489647,37,-16.021008019873957,0.35135135135135137
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2014,0.0713614870793543,0.10976148707935429,1.825610054981788,64,11.15023235614911,0.5625
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2015,0.12183405148302673,0.16923405148302673,1.5207740881616347,79,15.422031833294515,0.6329113924050633
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2016,0.06453862755665901,0.093338627556659,1.4407269967277114,48,13.445547407637294,0.5833333333333334
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2017,-0.03602199089726341,-0.02102199089726342,-1.9166230758460778,25,-14.408796358905368,0.24
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2018,-0.0779758119112677,-0.03837581191126771,-1.635660585266768,66,-11.814516956252683,0.3484848484848485
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2019,-0.019349997016370975,0.013050002983629017,-0.5668504590781751,54,-3.5833327808094397,0.46296296296296297
B,XTIUSD,XTIUSD|mom|on930|q0.8|14:30,2020,0.2602469734517813,0.29084697345178134,2.2400212032690834,51,51.02881832387869,0.47058823529411764
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2005,0.10728737773704507,0.2072873777370451,1.682869770127778,50,21.45747554740901,0.58
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2006,0.04961671288598329,0.14761671288598333,0.6268766785693977,49,10.125859772649653,0.46938775510204084
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2007,-0.002476109127418049,0.09552389087258195,-0.04259979690771319,49,-0.505328393350624,0.5102040816326531
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2008,0.224916202404589,0.31891620240458907,2.57742682178427,47,47.85451114991257,0.6382978723404256
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2009,0.15426820004425967,0.24826820004425976,1.4918580800719654,47,32.8230212860127,0.6170212765957447
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2010,0.03957537931457773,0.13557537931457775,0.5997396848405997,48,8.244870690537025,0.5208333333333334
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2011,-0.07485072841435672,0.025149271585643285,-1.467005138717505,50,-14.970145682871346,0.4
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2012,-0.09457157264539942,0.003428427354600583,-1.510011862708327,49,-19.300320948040703,0.42857142857142855
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2013,-0.08673308349156143,0.009266916508438583,-1.5045643154123256,48,-18.0693923940753,0.4166666666666667
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2014,-0.0015618532030078642,0.09043814679699214,-0.037117058673694824,46,-0.339533305001713,0.4782608695652174
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2015,-0.10574664234626288,-0.011746642346262881,-2.527947333692387,47,-22.49928560558785,0.3829787234042553
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2016,-0.1583335198499526,-0.05833351984995261,-2.5542954728253218,50,-31.66670396999053,0.38
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2017,-0.07946677938308036,0.018533220616919643,-1.5844375039324279,49,-16.21771007817967,0.30612244897959184
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2018,0.021629216983984415,0.11962921698398443,0.31145214936568305,49,4.414125915098858,0.40816326530612246
