bot,series,config,period,sharpe,is_sharpe,oos_sharpe,cagr,max_dd,gross_sharpe,trades_per_year,blow_ups,blow_ups_per_decade
grid,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,1991-2024,-0.014974690192512626,0.06723167219963581,-0.07024989003077022,-0.3924471509062869,-0.9999999957481179,0.030844783533225877,19.301230732465047,12,3.6133349265145176
grid,Brent (BRENT_W),step3.0%_lot0.5x_n8,1991-2024,-0.31199139477562654,-0.18571434313873866,-0.42568997188142305,-0.6323438098854031,-0.9999999999999994,-0.15469679783744794,24.693094930008236,22,6.5215856958004945
grid,NatGas (GAS_US),step5.0%_lot0.5x_n8,1991-2024,-0.23565290442602882,-0.024792290950083323,-0.4373097388846543,-0.7775065114872992,-1.0,-0.19754260864687398,17.77367979882649,27,8.147527242246438
grid,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,2006-2024,-0.33532417333233366,-0.2872188006691364,-0.340614658633348,-0.7793803211026804,-0.9999999999998669,-0.21117327839435895,27.903676628682003,17,9.21092238228338
grid,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,2007-2024,-0.5078905897596218,-0.08797369913007871,-0.5298723923214378,-0.8930682936967249,-1.0,-0.10076196737557433,16.329044117647058,20,11.580882352941178
grid_hedged,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,1991-2024,-0.8550479023329931,-1.1376025076766052,-0.6683818867808579,-0.7716622978076244,-1.0,-0.7744482405012866,34.146015055562195,32,9.635559804038714
grid_hedged,Brent (BRENT_W),step3.0%_lot0.5x_n8,1991-2024,-0.7496706691018349,-0.5305347411522657,-0.960799595868533,-0.8091971017073369,-1.0,-0.682096059138682,43.190683449006,36,10.671685684037174
grid_hedged,NatGas (GAS_US),step5.0%_lot0.5x_n8,1991-2024,-0.6961370416869223,-0.8541021717405906,-0.5436882242500763,-0.8559687785694502,-1.0,-0.6567742715139673,36.45264040234703,36,10.863369656328585
grid_hedged,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,2006-2024,-0.7915901351604957,-0.97284649929442,-0.777731383808713,-0.8966939875640485,-1.0,-0.9635180955396069,50.334981724360354,25,13.545474091593206
grid_hedged,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,2007-2024,-0.3689765778105031,-0.3342405517352447,-0.372311100321786,-0.8053177533492043,-0.9999999999995561,-0.16340301634307017,33.75827205882353,14,8.106617647058824
martingale,"WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k6,1991-2024,0.006248058415394368,0.04547584712031622,-0.048744479349080765,-0.20120801062119287,-0.9998071720039531,0.10863045863242844,108.70115903931173,3,0.9033337316286294
martingale,Brent (BRENT_W),step3.0%_base0.5x_k6,1991-2024,0.03263619254493534,-0.018026997663551193,0.09502969586177228,-0.19778032152681535,-0.9998397803454703,0.03254040062171198,143.8009645924009,3,0.8893071403364311
martingale,NatGas (GAS_US),step5.0%_base0.5x_k6,1991-2024,0.08359890253839297,0.10843424172585286,0.3620045106252064,-0.01813900480598707,-0.9611988435292637,0.3633226950832304,74.89689857502097,1,0.3017602682313496
martingale,WTI front (CRUDE_ICE),step3.0%_base0.5x_k6,2006-2024,0.19180652465933185,-0.4454642343801139,0.29561238576803106,-0.01949737063101209,-0.8079809312740209,0.23129811446107357,57.270264459256076,0,0.0
martingale,NatGas front (GAS-LAST),step5.0%_base0.5x_k6,2007-2024,0.207252135135985,0.13787742793138472,0.47064728498217223,0.02276177415623759,-0.6231025365235765,0.26639361501655745,39.606617647058826,0,0.0
dca,"WTI (Dec, CRUDE_W)",step3.0%_tp2%_v1.5_m6_ladder5.0x,1991-2024,-0.029871166713469805,0.0886471053124961,-0.10273952678329938,-0.3189805643973268,-0.9999996883890874,0.09063624520918574,16.832118532680127,8,2.4088899510096784
dca,Brent (BRENT_W),step3.0%_tp2%_v1.5_m6_ladder5.0x,1991-2024,-0.09070236938674159,0.13674098902448106,-0.28645080772285214,-0.44081480751286606,-0.9999999987383407,-0.20176000895851814,18.527232090342313,12,3.5572285613457244
dca,NatGas (GAS_US),step5.0%_tp2%_v1.5_m6_ladder5.0x,1991-2024,-0.25270053493932476,-0.2596544386631435,-0.2472574708597114,-0.7231681946765586,-1.0,-0.26392378478763295,20.730930427493714,26,7.845766974015089
dca,WTI front (CRUDE_ICE),step3.0%_tp2%_v1.5_m6_ladder5.0x,2006-2024,-0.43394671509320826,-0.46463614681141147,-0.4350488790319724,-0.7602908254506424,-0.9999999999992877,-0.3688915568648804,20.264029241023437,16,8.669103418619653
dca,NatGas front (GAS-LAST),step5.0%_tp2%_v1.5_m6_ladder5.0x,2007-2024,-0.18443885725674514,0.4819335177411285,-0.2058833209367486,-0.7573962734408243,-0.9999999999816418,-0.2844005671173477,17.71875,15,8.685661764705884
"same entries, no doubling (reference)","WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k0,1991-2024,0.3087596866019886,0.2803503178339922,0.369153670455317,0.04716571861248875,-0.7434667803262514,0.41347082471733837,37.97012785279006,0,0.0
"same entries, no doubling (reference)",Brent (BRENT_W),step3.0%_base0.5x_k0,1991-2024,0.29473394232914135,0.1799155153201787,0.5082049193034379,0.03677359494970145,-0.8269592494172398,0.3857682127407228,47.87436772144454,0,0.0
"same entries, no doubling (reference)",NatGas (GAS_US),step5.0%_base0.5x_k0,1991-2024,0.31075587560576184,0.3950652154968569,0.49517544571823846,0.030561776254441897,-0.33435254106137813,0.49392889808365065,38.53478625314334,0,0.0
