bot,series,start,ruined,stopped_out,years_to_ruin,years_observed,peak_equity_before_ruin,closed_trades,win_rate
grid,"WTI (Dec, CRUDE_W)",1991-01-02,True,True,0.12698412698412698,0.12698412698412698,1.0151720020948622,66,1.0
grid,"WTI (Dec, CRUDE_W)",1991-02-01,True,True,3.0238095238095237,3.0238095238095237,1.3322802281212434,69,1.0
grid,"WTI (Dec, CRUDE_W)",1991-03-01,True,True,2.857142857142857,2.857142857142857,1.257531493050913,64,1.0
grid,"WTI (Dec, CRUDE_W)",1991-04-01,True,True,2.8015873015873014,2.8015873015873014,1.2554553693620307,64,1.0
grid,"WTI (Dec, CRUDE_W)",1991-05-01,True,True,2.6904761904761907,2.6904761904761907,1.19903178613472,61,1.0
grid,"WTI (Dec, CRUDE_W)",1991-06-03,True,True,2.626984126984127,2.626984126984127,1.1898245541315284,61,1.0
grid,"WTI (Dec, CRUDE_W)",1991-07-01,True,True,2.5238095238095237,2.5238095238095237,1.1862508242174692,60,1.0
grid,"WTI (Dec, CRUDE_W)",1991-08-01,True,True,2.4365079365079363,2.4365079365079363,1.1684612007180255,59,1.0
grid,"WTI (Dec, CRUDE_W)",1991-09-03,True,True,2.3492063492063493,2.3492063492063493,1.1490227438378153,58,1.0
grid,"WTI (Dec, CRUDE_W)",1991-10-01,True,True,2.2698412698412698,2.2698412698412698,1.1353416821367968,57,1.0
grid,"WTI (Dec, CRUDE_W)",1991-11-01,True,True,2.1785714285714284,2.1785714285714284,1.0962536998814798,53,1.0
grid,"WTI (Dec, CRUDE_W)",1991-12-02,True,True,2.1904761904761907,2.1904761904761907,1.1234923832618122,56,1.0
grid,"WTI (Dec, CRUDE_W)",1992-01-02,True,True,2.107142857142857,2.107142857142857,1.1339141381195956,56,1.0
grid,"WTI (Dec, CRUDE_W)",1992-02-03,True,True,1.9523809523809523,1.9523809523809523,1.1239536281261193,55,1.0
grid,"WTI (Dec, CRUDE_W)",1992-03-02,True,True,1.876984126984127,1.876984126984127,1.128785710773235,55,1.0
grid,"WTI (Dec, CRUDE_W)",1992-04-01,True,True,1.7896825396825398,1.7896825396825398,1.1110974719752995,54,1.0
grid,"WTI (Dec, CRUDE_W)",1992-05-01,True,True,1.7063492063492063,1.7063492063492063,1.0784118208320634,52,1.0
grid,"WTI (Dec, CRUDE_W)",1992-06-01,True,True,1.5595238095238095,1.5595238095238095,1.0750199428189133,50,1.0
grid,"WTI (Dec, CRUDE_W)",1992-07-01,True,True,1.5158730158730158,1.5158730158730158,1.0864106704934775,50,1.0
grid,"WTI (Dec, CRUDE_W)",1992-08-03,True,True,1.3849206349206349,1.3849206349206349,1.0435982899253815,48,1.0
grid,"WTI (Dec, CRUDE_W)",1992-09-01,True,True,1.3055555555555556,1.3055555555555556,1.0756784991064108,49,1.0
grid,"WTI (Dec, CRUDE_W)",1992-10-01,True,True,1.3531746031746033,1.3531746031746033,1.0684872169595916,51,1.0
grid,"WTI (Dec, CRUDE_W)",1992-11-02,True,True,1.130952380952381,1.130952380952381,1.0407350156842934,46,1.0
grid,"WTI (Dec, CRUDE_W)",1992-12-01,True,True,1.0992063492063493,1.0992063492063493,1.0476313179624417,49,1.0
grid,"WTI (Dec, CRUDE_W)",1993-01-04,True,True,1.0158730158730158,1.0158730158730158,1.0491109184702845,49,1.0
grid,"WTI (Dec, CRUDE_W)",1993-02-01,True,True,0.8888888888888888,0.8888888888888888,1.0314239990002945,45,1.0
grid,"WTI (Dec, CRUDE_W)",1993-03-02,True,True,0.8611111111111112,0.8611111111111112,1.0190819310960562,48,1.0
grid,"WTI (Dec, CRUDE_W)",1993-04-01,True,True,0.7341269841269841,0.7341269841269841,1.0041978778026681,47,1.0
grid,"WTI (Dec, CRUDE_W)",1993-05-03,True,True,0.6428571428571429,0.6428571428571429,0.99985,44,1.0
grid,"WTI (Dec, CRUDE_W)",1993-06-01,True,True,0.6111111111111112,0.6111111111111112,0.99985,45,1.0
grid,"WTI (Dec, CRUDE_W)",1993-07-01,True,True,0.7301587301587301,0.7301587301587301,1.041704635148852,54,1.0
grid,"WTI (Dec, CRUDE_W)",1993-08-02,True,True,0.6468253968253969,0.6468253968253969,1.0419416763854144,54,1.0
grid,"WTI (Dec, CRUDE_W)",1993-09-02,True,True,4.813492063492063,4.813492063492063,1.6291393577461843,54,1.0
grid,"WTI (Dec, CRUDE_W)",1993-10-01,True,True,0.4801587301587302,0.4801587301587302,1.0048418721461188,49,1.0
grid,"WTI (Dec, CRUDE_W)",1993-11-01,True,True,4.650793650793651,4.650793650793651,1.6370532738574584,55,1.0
grid,"WTI (Dec, CRUDE_W)",1993-12-01,True,True,4.567460317460317,4.567460317460317,1.69994092334178,54,1.0
grid,"WTI (Dec, CRUDE_W)",1994-01-03,True,True,4.484126984126984,4.484126984126984,1.713816296734041,53,1.0
grid,"WTI (Dec, CRUDE_W)",1994-02-01,True,True,4.400793650793651,4.400793650793651,1.7214290789200186,53,1.0
grid,"WTI (Dec, CRUDE_W)",1994-03-01,True,True,4.26984126984127,4.26984126984127,1.7512145058716853,53,1.0
grid,"WTI (Dec, CRUDE_W)",1994-04-04,True,True,4.178571428571429,4.178571428571429,1.694827276998945,50,1.0
