bot,series,n,share_ruined,share_stopped_out,median_years_to_ruin,p90_years_to_ruin,median_peak_before_ruin,median_win_rate
dca,Brent (BRENT_W),388,0.9381443298969072,0.9149484536082474,0.7996031746031746,2.8813492063492063,1.131081538398294,1.0
dca,NatGas (GAS_US),387,1.0,1.0,0.5634920634920635,2.116666666666668,1.0862150874342067,1.0
dca,"WTI (Dec, CRUDE_W)",387,0.9095607235142119,0.9069767441860465,1.4107142857142856,4.50952380952381,1.2132249269709343,1.0
grid,Brent (BRENT_W),388,0.9768041237113402,0.9252577319587629,0.9126984126984127,3.096825396825396,1.2541596274086273,1.0
grid,NatGas (GAS_US),387,1.0,1.0,0.5,1.5261904761904774,1.151285317375134,1.0
grid,"WTI (Dec, CRUDE_W)",387,0.9767441860465116,0.9457364341085271,1.3511904761904763,3.6678571428571436,1.2922483195084127,1.0
grid_hedged,Brent (BRENT_W),388,0.9664948453608248,0.9639175257731959,0.4603174603174603,1.6015873015873017,1.025881088147023,1.0
grid_hedged,NatGas (GAS_US),387,1.0,0.9974160206718347,0.4126984126984127,1.3206349206349208,1.0365009924312218,1.0
grid_hedged,"WTI (Dec, CRUDE_W)",387,0.9715762273901809,0.9664082687338501,0.5873015873015873,1.9365079365079365,1.0303459101795895,1.0
martingale,Brent (BRENT_W),388,0.845360824742268,0.0,1.4761904761904763,3.890079365079365,1.3395799827483876,0.5337458116391588
martingale,NatGas (GAS_US),387,0.5684754521963824,0.0,1.1369047619047619,3.6190476190476186,1.6877926394892862,0.5530864197530864
martingale,"WTI (Dec, CRUDE_W)",387,0.9483204134366925,0.0,1.9722222222222223,5.305555555555556,1.3825733748043345,0.523224043715847
