bot,series,config,n_starts,first_start,last_start,p_stop_out,p_loss_ge_50pct,p_final_loss,mean_2y_ret,median_2y_ret,p05_2y_ret,worst_2y_ret,best_2y_ret,median_win_rate,median_trades,median_max_dd,p_stop_given_profitable_year1,share_profitable_year1,median_seq_win_rate,step,size,depth,full_exposure_x
grid,"WTI (Dec, CRUDE_W)",step1.5%_lot0.25x_n5,375,1991-01-02,2022-03-01,0.050666666666666665,0.24266666666666667,0.6186666666666667,-0.11664911591126004,-0.09365515744681185,-0.8818616271268113,-0.974815484904739,0.7550925532423971,1.0,41.0,-0.42557244524605864,0.062111801242236024,0.42933333333333334,,0.015,0.25,5,1.25
grid_hedged,"WTI (Dec, CRUDE_W)",step1.5%_lot0.25x_n5,375,1991-01-02,2022-03-01,0.23466666666666666,0.5893333333333334,1.0,-0.5584185829567121,-0.5232845729811324,-0.8917194075291317,-0.9696565053884488,-0.08370383502340495,1.0,65.0,-0.5483935537874978,0.0,0.013333333333333334,,0.015,0.25,5,1.25
grid,"WTI (Dec, CRUDE_W)",step1.5%_lot0.25x_n10,375,1991-01-02,2022-03-01,0.2906666666666667,0.6426666666666667,0.608,-0.22561895194057524,-0.17653040779679618,-0.925938420170501,-0.9326382010600687,1.0221589313624126,1.0,63.0,-0.708248470483009,0.17204301075268819,0.496,,0.015,0.25,10,2.5
grid_hedged,"WTI (Dec, CRUDE_W)",step1.5%_lot0.25x_n10,375,1991-01-02,2022-03-01,0.6506666666666666,0.872,0.992,-0.7039530073748453,-0.8218593585375595,-0.9295508529629015,-0.9375899004859543,0.04143234004361229,1.0,70.0,-0.8238604807879588,0.0,0.032,,0.015,0.25,10,2.5
grid,"WTI (Dec, CRUDE_W)",step1.5%_lot0.5x_n5,375,1991-01-02,2022-03-01,0.3253333333333333,0.656,0.6453333333333333,-0.23231907540465757,-0.27610733994864645,-0.9227720012370818,-0.9257219499277829,1.5101851064847893,1.0,40.0,-0.8022961280412579,0.2125,0.4266666666666667,,0.015,0.5,5,2.5
grid_hedged,"WTI (Dec, CRUDE_W)",step1.5%_lot0.5x_n5,375,1991-01-02,2022-03-01,0.6933333333333334,0.912,1.0,-0.7503397575552029,-0.8234663527279891,-0.9281245367067887,-0.937320859915387,-0.16740767004680868,1.0,43.0,-0.8261037086235058,0.0,0.013333333333333334,,0.015,0.5,5,2.5
grid,"WTI (Dec, CRUDE_W)",step1.5%_lot0.5x_n10,375,1991-01-02,2022-03-01,0.696,0.7786666666666666,0.752,-0.33483463033593075,-0.7353433548087704,-0.8081691514247639,-0.8303970613895171,2.044317862724825,1.0,46.0,-0.7999790441393937,0.4941860465116279,0.45866666666666667,,0.015,0.5,10,5.0
grid_hedged,"WTI (Dec, CRUDE_W)",step1.5%_lot0.5x_n10,375,1991-01-02,2022-03-01,0.9306666666666666,0.9733333333333334,0.9866666666666667,-0.7051556032897022,-0.7155262124683117,-0.8146140814042351,-0.8413424462086723,0.20079206522710136,1.0,38.0,-0.7233696363491875,0.6875,0.042666666666666665,,0.015,0.5,10,5.0
grid,"WTI (Dec, CRUDE_W)",step1.5%_lot1.0x_n5,375,1991-01-02,2022-03-01,0.7306666666666667,0.84,0.7786666666666666,-0.31081575716448284,-0.757441632345402,-0.7982856312043229,-0.800949590714838,3.0203702129695893,1.0,27.0,-0.8035562064804742,0.44680851063829785,0.376,,0.015,1.0,5,5.0
grid_hedged,"WTI (Dec, CRUDE_W)",step1.5%_lot1.0x_n5,375,1991-01-02,2022-03-01,0.952,0.9973333333333333,0.9973333333333333,-0.7222489491941761,-0.7182142708468511,-0.8077332061547238,-0.8236141256740781,0.10490738580797876,1.0,22.0,-0.7258680105739038,0.8333333333333334,0.016,,0.015,1.0,5,5.0
