strategy,bot,instrument,config,period,net_sharpe,is_sharpe,oos_sharpe,gross_sharpe,cagr_refunded,max_dd,trades_per_year,blow_ups_per_decade,p_stop_out_2y,p_loss50_2y,median_2y_ret,worst_2y_ret,median_win_rate,verdict
"Grid (buy every X% down, TP +X% per lot)",grid,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,1991-2024,-0.014974690192512626,0.06723167219963581,-0.07024989003077022,0.030844783533225877,-0.3924471509062869,-0.9999999957481179,19.301230732465047,3.6133349265145176,0.4666666666666667,0.6613333333333333,-0.3821835593297376,-0.8765988061259069,1.0,reject
"Grid (buy every X% down, TP +X% per lot)",grid,Brent (BRENT_W),step3.0%_lot0.5x_n8,1991-2024,-0.31199139477562654,-0.18571434313873866,-0.42568997188142305,-0.15469679783744794,-0.6323438098854031,-0.9999999999999994,24.693094930008236,6.5215856958004945,0.568,0.7706666666666667,-0.7387246630160542,-0.8728796265925644,1.0,reject
"Grid (buy every X% down, TP +X% per lot)",grid,NatGas (GAS_US),step5.0%_lot0.5x_n8,1991-2024,-0.23565290442602882,-0.024792290950083323,-0.4373097388846543,-0.19754260864687398,-0.7775065114872992,-1.0,17.77367979882649,8.147527242246438,0.7626666666666667,0.9226666666666666,-0.8289731538054701,-0.8903865999011834,1.0,reject
"Grid (buy every X% down, TP +X% per lot)",grid,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,2006-2024,-0.33532417333233366,-0.2872188006691364,-0.340614658633348,-0.21117327839435895,-0.7793803211026804,-0.9999999999998669,27.903676628682003,9.21092238228338,0.7461139896373057,0.8601036269430051,-0.8132264790827034,-0.8734232242502302,1.0,reject
"Grid (buy every X% down, TP +X% per lot)",grid,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,2007-2024,-0.5078905897596218,-0.08797369913007871,-0.5298723923214378,-0.10076196737557433,-0.8930682936967249,-1.0,16.329044117647058,11.580882352941178,0.8961748633879781,0.9562841530054644,-0.8587726096536772,-0.8900574502277708,1.0,reject
Two-sided hedged grid,grid_hedged,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,1991-2024,-0.8550479023329931,-1.1376025076766052,-0.6683818867808579,-0.7744482405012866,-0.7716622978076244,-1.0,34.146015055562195,9.635559804038714,0.744,0.9066666666666666,-0.7376835522586482,-0.8948517735150897,1.0,reject
Two-sided hedged grid,grid_hedged,Brent (BRENT_W),step3.0%_lot0.5x_n8,1991-2024,-0.7496706691018349,-0.5305347411522657,-0.960799595868533,-0.682096059138682,-0.8091971017073369,-1.0,43.190683449006,10.671685684037174,0.8693333333333333,0.9493333333333334,-0.752302932724904,-0.8860731858938089,1.0,reject
Two-sided hedged grid,grid_hedged,NatGas (GAS_US),step5.0%_lot0.5x_n8,1991-2024,-0.6961370416869223,-0.8541021717405906,-0.5436882242500763,-0.6567742715139673,-0.8559687785694502,-1.0,36.45264040234703,10.863369656328585,0.888,0.9413333333333334,-0.7684343815102204,-0.9277863215918055,1.0,reject
Two-sided hedged grid,grid_hedged,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,2006-2024,-0.7915901351604957,-0.97284649929442,-0.777731383808713,-0.9635180955396069,-0.8966939875640485,-1.0,50.334981724360354,13.545474091593206,0.7772020725388601,0.9067357512953368,-0.7553266460221826,-0.8990926495292239,1.0,reject
Two-sided hedged grid,grid_hedged,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,2007-2024,-0.3689765778105031,-0.3342405517352447,-0.372311100321786,-0.16340301634307017,-0.8053177533492043,-0.9999999999995561,33.75827205882353,8.106617647058824,0.8087431693989071,0.9398907103825137,-0.7875669485663126,-0.9220128662997533,1.0,reject
