variant,symbol,year,auc,trend_auc,n
lgbm_y1_per_instr,XBRUSD,2005,0.5051475204017577,0.49736346516007535,253
lgbm_y1_per_instr,XBRUSD,2006,0.47899877899877896,0.4856532356532357,256
lgbm_y1_per_instr,XBRUSD,2007,0.5914885866925692,0.47140602234094214,258
lgbm_y1_per_instr,XBRUSD,2008,0.5300035932446999,0.5827045155108397,259
lgbm_y1_per_instr,XBRUSD,2009,0.49782608695652164,0.4559782608695652,258
lgbm_y1_per_instr,XBRUSD,2010,0.4359112709832134,0.4962829736211031,259
lgbm_y1_per_instr,XBRUSD,2011,0.5235488721804511,0.45515789473684215,258
lgbm_y1_per_instr,XBRUSD,2012,0.4189903846153846,0.51328125,258
lgbm_y1_per_instr,XBRUSD,2013,0.6016770223804065,0.4751161247511613,258
lgbm_y1_per_instr,XBRUSD,2014,0.600455636968167,0.5515054491718491,258
lgbm_y1_per_instr,XBRUSD,2015,0.4775219298245613,0.4936951754385965,258
lgbm_y1_per_instr,XBRUSD,2016,0.5139147682875519,0.47902266033539703,258
lgbm_y1_per_instr,XBRUSD,2017,0.5183090024330901,0.5044403892944038,257
lgbm_y1_per_instr,XBRUSD,2018,0.5065452132472703,0.531760873499427,258
lgbm_y1_per_instr,XBRUSD,2019,0.5106828397266179,0.4744781725263223,258
lgbm_y1_per_instr,XBRUSD,2020,0.48282442748091603,0.5007156488549618,259
lgbm_y1_per_instr,XBRUSD,2021,0.48272257747171665,0.50396581406788,259
lgbm_y1_per_instr,XBRUSD,2022,0.5594140982606042,0.5212694537686909,258
lgbm_y1_per_instr,XBRUSD,2023,0.5267781412819581,0.4449897007148915,257
lgbm_y1_per_instr,XBRUSD,2024,0.5219298245614035,0.45394736842105265,62
lgbm_y1_per_instr,XNGUSD,2005,0.5387449186991871,0.4913617886178862,251
lgbm_y1_per_instr,XNGUSD,2006,0.5474903474903475,0.39607464607464604,251
lgbm_y1_per_instr,XNGUSD,2007,0.4604399611084103,0.4202418570734079,257
