model,target,symbol,n_eval,base_rate_up,accuracy,acc_always_up,acc_minus_best_naive,acc_se,auc,auc_se,auc_z,logloss,logloss_baserate,logloss_gain,trend_sign_accuracy,trend_auc
lr_y1_per_instr,y1,XBRUSD,4959,0.519257914902198,0.5140149223633798,0.519257914902198,-0.005242992538818214,0.007100238714038416,0.5269230142698899,0.008185352335147137,3.289169869241297,0.6964561286841859,0.6927634411655104,-0.0036926875186755748,0.5134099616858238,0.5218868508503289
lr_y1_per_instr,y1,XNGUSD,4846,0.4754436648782501,0.5096987205943045,0.5245563351217499,-0.014857614527445384,0.0071825440709686805,0.5097908949099571,0.008305279826448431,1.178875981851651,0.6980930632355161,0.6929654235954364,-0.005127639640079673,0.5208419314898886,0.5042356125426173
lr_y1_per_instr,y1,XTIUSD,4865,0.5301130524152107,0.5157245632065776,0.5301130524152107,-0.014388489208633115,0.00716850482732654,0.5148577056018444,0.008283959588878504,1.793551192812599,0.702661479689124,0.6919595084013507,-0.010701971287773282,0.5206577595066804,0.5234781262074696
lr_y1_per_instr,y1,ALL,14670,0.5083844580777096,0.5131561008861623,0.5083844580777096,0.0047716428084526585,0.004128145038483916,0.5220371257819906,0.004760769120831199,4.628900335780837,0.6990547392823298,0.6925635552730621,-0.006491184009267625,0.51826857532379,0.5280559114029878
lr_y1_pooled,y1,XBRUSD,4959,0.519257914902198,0.5186529542246421,0.519257914902198,-0.000604960677555888,0.007100238714038416,0.5240828826480746,0.008188857255058692,2.9409332582024543,0.6940037114257928,0.6928653725237778,-0.0011383389020149792,0.5134099616858238,0.5218868508503289
lr_y1_pooled,y1,XNGUSD,4846,0.4754436648782501,0.5049525381758151,0.5245563351217499,-0.019603796945934837,0.0071825440709686805,0.5011359507496285,0.008304847374570165,0.1367816527377495,0.6987028296610327,0.6937805949451918,-0.004922234715840856,0.5208419314898886,0.5042356125426173
lr_y1_pooled,y1,XTIUSD,4865,0.5301130524152107,0.5233299075025694,0.5301130524152107,-0.006783144912641315,0.00716850482732654,0.5195261071233874,0.008279150979998807,2.358467332044021,0.6958737198157615,0.6926081425919646,-0.003265577223796945,0.5206577595066804,0.5234781262074696
lr_y1_pooled,y1,ALL,14670,0.5083844580777096,0.5156782549420587,0.5083844580777096,0.007293796864349056,0.004128145038483916,0.5205730199674659,0.004761574456795542,4.320633889932101,0.6961761393593422,0.6930823966707377,-0.003093742688604517,0.51826857532379,0.5280559114029878
lr_y5_per_instr,y5,XBRUSD,991,0.5418768920282543,0.5469223007063572,0.5418768920282543,0.005045408678102881,0.015883023449744897,0.5354842943748512,0.01832096658272988,1.9368134434730226,0.697334283505561,0.6905248596436835,-0.0068094238618775504,0.5176589303733602,0.5277155678061346
lr_y5_per_instr,y5,XNGUSD,969,0.4664602683178535,0.5304437564499485,0.5335397316821465,-0.003095975232198067,0.016062314155080887,0.520822991732425,0.018596199586856814,1.1197444744108886,0.7031579841092189,0.692822935705509,-0.010335048403709912,0.5325077399380805,0.5244946166618168
lr_y5_per_instr,y5,XTIUSD,973,0.5416238437821171,0.5313463514902363,0.5416238437821171,-0.010277492291880796,0.016029264090937537,0.5207750104236689,0.01854200711762715,1.1204294277246252,0.7062149163669263,0.690009925889237,-0.016204990477689307,0.5220966084275437,0.5252316607244663
lr_y5_per_instr,y5,ALL,2933,0.5168769178315717,0.5363109444255029,0.5168769178315717,0.01943402659393112,0.009232386405762703,0.5396430081017721,0.010618022586561821,3.7335584642609776,0.7022043897650404,0.6911132691768688,-0.011091120588171632,0.524036822366178,0.5446577369037489
lr_y5_pooled,y5,XBRUSD,991,0.5418768920282543,0.5610494450050454,0.5418768920282543,0.019172552976791102,0.015883023449744897,0.5416246236638529,0.018293340299773152,2.2753976573851338,0.690238651788421,0.6910644087122192,0.0008257569237981599,0.5176589303733602,0.5277155678061346
lr_y5_pooled,y5,XNGUSD,969,0.4664602683178535,0.5314757481940144,0.5335397316821465,-0.0020639834881320818,0.016062314155080887,0.5137921295424591,0.018601430672930293,0.7414553098074385,0.6993071032976371,0.6982115447782185,-0.0010955585194186712,0.5325077399380805,0.5244946166618168
lr_y5_pooled,y5,XTIUSD,973,0.5416238437821171,0.5364850976361768,0.5416238437821171,-0.005138746145940343,0.016029264090937537,0.5221237055504974,0.01853798997991236,1.193425262095322,0.7004573296886725,0.6905359478992469,-0.009921381789425587,0.5220966084275437,0.5252316607244663
