variant,symbol,corr_daily_net_vs_trend,corr_signal_vs_trend_signal
lr_y1_per_instr,XTIUSD,0.25050688388022996,0.1461902739330269
lr_y1_per_instr,XBRUSD,0.17818401663488675,0.10749682021703119
lr_y1_per_instr,XNGUSD,0.32036506914483776,0.18780958981142576
lr_y1_per_instr,PORT,0.2786910954810131,
lr_y1_pooled,XTIUSD,0.36751500728276365,0.29570413536546325
lr_y1_pooled,XBRUSD,0.278969708695366,0.19145359512173538
lr_y1_pooled,XNGUSD,0.32337167530324384,0.18342443213698467
lr_y1_pooled,PORT,0.3347512473732951,
lr_y5_per_instr,XTIUSD,0.24340709176135827,0.13153039779215422
lr_y5_per_instr,XBRUSD,0.3510183164290255,0.2871320943611736
lr_y5_per_instr,XNGUSD,0.33923743020517916,0.20056455261985331
lr_y5_per_instr,PORT,0.3281700632980251,
lr_y5_pooled,XTIUSD,0.43643770158998163,0.3682726905198376
lr_y5_pooled,XBRUSD,0.45081022397565346,0.37478070028942073
lr_y5_pooled,XNGUSD,0.4067164889717965,0.2546604535299144
lr_y5_pooled,PORT,0.4289661943782748,
lgbm_y1_per_instr,XTIUSD,0.14511540407337906,0.10995794616902542
lgbm_y1_per_instr,XBRUSD,0.19678994832552713,0.15217222187304774
lgbm_y1_per_instr,XNGUSD,0.20245405447141454,0.09735458238815327
lgbm_y1_per_instr,PORT,0.21181252662947625,
lgbm_y1_pooled,XTIUSD,0.27494054133276374,0.27578663814677234
lgbm_y1_pooled,XBRUSD,0.2656111217170827,0.2793697730075507
lgbm_y1_pooled,XNGUSD,0.27355432139727853,0.1760124984961975
lgbm_y1_pooled,PORT,0.28220388655998874,
lgbm_y5_per_instr,XTIUSD,0.19353411205253318,0.13355447099181153
lgbm_y5_per_instr,XBRUSD,0.268802623238672,0.22062690674265154
lgbm_y5_per_instr,XNGUSD,0.31708565308398373,0.17328216526893403
lgbm_y5_per_instr,PORT,0.27008408988023036,
lgbm_y5_pooled,XTIUSD,0.3889651283842039,0.38158615724303824
lgbm_y5_pooled,XBRUSD,0.3960902253682259,0.37969085952743564
lgbm_y5_pooled,XNGUSD,0.3635534009278682,0.2510152739960346
lgbm_y5_pooled,PORT,0.3819247678946401,
