variant,feature,importance_share
lr_y1_per_instr,carry_z,0.04486496480761758
lr_y1_per_instr,x_ho_ret_20,0.044184895465425554
lr_y1_per_instr,ret_1,0.04302775852537053
lr_y1_per_instr,ma_dist_20,0.0394379793336468
lr_y1_per_instr,ret_250,0.035772916936666184
lr_y1_per_instr,x_XTIUSD_ret_1,0.033625418415717645
lr_y1_per_instr,ma_dist_100,0.03129481082714704
lr_y1_per_instr,x_ho_ret_5,0.028180628714020772
lr_y1_per_instr,x_XBRUSD_ret_1,0.026968008555784136
lr_y1_per_instr,logvol_20,0.024315348235881745
lr_y1_per_instr,ret_60,0.02237532148240806
lr_y1_per_instr,vr_20_250,0.022153878786082867
lr_y1_per_instr,ma_dist_200,0.02201335263745903
lr_y1_per_instr,ret_10,0.0216016887419564
lr_y1_per_instr,x_ho_ret_1,0.021252834689983426
lr_y1_per_instr,dow_next_4,0.0206066444980183
lr_y1_per_instr,carry,0.02005633966062748
lr_y1_per_instr,month_next_4,0.01857268874897861
lr_y1_per_instr,carry_d5,0.018359377985705395
lr_y1_per_instr,carry_deseason,0.018211439859950454
lr_y1_per_instr,ret_20,0.017078703252541624
lr_y1_per_instr,x_XBRUSD_ret_60,0.016777219456219416
lr_y1_per_instr,x_rb_ret_20,0.01646473146916024
lr_y1_per_instr,month_next_7,0.016312098588527016
lr_y1_per_instr,ret_5,0.01605540339418482
lr_y1_per_instr,eia_next,0.01508560155763401
lr_y1_per_instr,ma_dist_50,0.014603708504863646
lr_y1_per_instr,x_rb_ret_1,0.014517472503650434
lr_y1_per_instr,ma_dist_10,0.014165817501959702
lr_y1_per_instr,month_next_3,0.013978541615708603
lr_y1_per_instr,ewmac,0.013755145564119137
lr_y1_per_instr,x_XBRUSD_ret_5,0.01368837090520634
lr_y1_per_instr,pre_hol_next,0.013545796777271114
lr_y1_per_instr,dow_next_3,0.01338334000156648
lr_y1_per_instr,x_XTIUSD_ret_60,0.012603524683202397
lr_y1_per_instr,x_XBRUSD_ret_20,0.011911263382350755
lr_y1_per_instr,dow_next_2,0.011848311256586816
lr_y1_per_instr,carry_d20,0.011635038569601536
lr_y1_per_instr,vr_5_60,0.011371545095482629
lr_y1_per_instr,ret_120,0.010964781424033974
lr_y1_per_instr,ret_2,0.010680428933516601
lr_y1_per_instr,x_wti_brent_spread_d5,0.009737743172336024
lr_y1_per_instr,x_rb_crack_rel_20,0.009188837559903655
lr_y1_per_instr,x_rb_ret_5,0.009102665659824156
lr_y1_per_instr,month_next_8,0.009101425283176742
lr_y1_per_instr,month_next_11,0.008899253031412948
lr_y1_per_instr,x_XTIUSD_ret_5,0.008649118317903395
lr_y1_per_instr,month_next_9,0.008090019666722964
lr_y1_per_instr,month_next_10,0.007812386897992789
lr_y1_per_instr,x_ho_crack_rel_20,0.0074132633013034065
lr_y1_per_instr,x_wti_brent_spread_d20,0.007313707346744693
lr_y1_per_instr,vr_20_120,0.006930564039215167
lr_y1_per_instr,x_XNGUSD_ret_5,0.006915881914797616
lr_y1_per_instr,x_XNGUSD_ret_60,0.006799627994578416
lr_y1_per_instr,month_next_6,0.006025703581575571
lr_y1_per_instr,month_next_12,0.006023779624221702
lr_y1_per_instr,dow_next_1,0.00558585945444914
lr_y1_per_instr,x_XTIUSD_ret_20,0.005483948406707546
lr_y1_per_instr,month_next_2,0.005396399855349897
lr_y1_per_instr,month_next_5,0.005162165131765573
lr_y1_per_instr,x_XNGUSD_ret_20,0.005154733662943009
lr_y1_per_instr,tom_next,0.004411426431712488
lr_y1_per_instr,x_XNGUSD_ret_1,0.003498348319527847
lr_y1_pooled,carry_z,0.04714283200214306
lr_y1_pooled,ma_dist_20,0.04533227758402887
lr_y1_pooled,ret_250,0.04148083055164986
lr_y1_pooled,x_rb_ret_20,0.04127497092825882
lr_y1_pooled,ma_dist_200,0.0371900028142323
