strategy,variant,blend,instrument,period,net_sharpe,sr_2005_2007,sr_2008_2024,sr_2010s,sr_2020s,gross_sharpe,cagr,max_dd,turnover_py,oos_accuracy,oos_auc,verdict
Trend: multi-speed EWMAC (reference),trend_multi_ewmac,0.0,XTIUSD,2005-2024,0.3035906817926432,0.9635346264587425,0.1799620978057245,-0.03,0.35,0.3859406837952042,0.03826125660230573,-0.46922040162651224,6.575456600151917,,,reference
Trend: multi-speed EWMAC (reference),trend_multi_ewmac,0.0,XBRUSD,2005-2024,0.4305207742079919,0.3329151685124003,0.44635143495474144,0.4,0.43,0.5026055237311631,0.06444894906287035,-0.4235798230868061,6.127012857410708,,,reference
Trend: multi-speed EWMAC (reference),trend_multi_ewmac,0.0,XNGUSD,2005-2024,0.4180065167111695,0.23541579729142043,0.4536730800851559,0.15,0.84,0.48864209932802966,0.06491303997324849,-0.4474466902320795,4.292818430982235,,,reference
Trend: multi-speed EWMAC (reference),trend_multi_ewmac,0.0,PORT,2005-2024,0.549602424446398,0.6979491746521926,0.5234658748051532,0.29,0.84,,0.06851438560619805,-0.3290974754254453,,,,reference
"LogReg L2, next-day target, per-instrument",lr_y1_per_instr,0.0,XTIUSD,2005-2024,-0.029303621333576422,0.41148043231937426,-0.10707596624922117,-0.38,0.41,0.21972723090082533,-0.018267271544677333,-0.6826960147886056,96.97251246299588,0.5157245632065776,0.5148577056018444,
"LogReg L2, next-day target, per-instrument",lr_y1_per_instr,0.0,XBRUSD,2005-2024,0.30506443989859455,0.4420884361455313,0.2806659800135282,0.27,0.19,0.5600216797984712,0.03594817308203413,-0.46527011821959063,83.69582574382751,0.5140149223633798,0.5269230142698899,
"LogReg L2, next-day target, per-instrument",lr_y1_per_instr,0.0,XNGUSD,2005-2024,-0.05467094818862655,0.9443060653559721,-0.26012524487289107,-0.6,0.16,0.44763747935665854,-0.01983116794378359,-0.6929843500563228,69.5933322271273,0.5096987205943045,0.5097908949099571,
"LogReg L2, next-day target, per-instrument",lr_y1_per_instr,0.0,PORT,2005-2024,0.10959736811925547,0.8042183042741097,-0.02637696688342142,-0.3,0.44,,0.0060176112168586204,-0.4746688561153304,,0.5131561008861623,0.5220371257819906,
"50/50 blend: trend + LogReg L2, next-day target, per-instrument",lr_y1_per_instr,0.5,XTIUSD,2005-2024,0.24653467026248851,1.0138270480557487,0.11594904045849913,-0.18,0.5,0.4176111945296047,0.024100420794635813,-0.48182543038384984,44.99350887804208,0.5157245632065776,0.5148577056018444,
"50/50 blend: trend + LogReg L2, next-day target, per-instrument",lr_y1_per_instr,0.5,XBRUSD,2005-2024,0.5234486167471029,0.5541864434679563,0.5190844493928004,0.48,0.48,0.6896563106331774,0.061020531000792966,-0.33945765427531094,38.7674896019378,0.5140149223633798,0.5269230142698899,
