name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,setting
trend,1991-10-29,2024-03-28,32.4,0.07244909754659105,0.05703769147731985,0.1838700067169105,0.39402346712335173,0.4697434414617578,-0.44497405856914585,0.12818206000756469,-0.4579763584513748,2.2421615314761056,0.5150976909413855,6.229310202495947,0.016427163005853365,0.4832536229686139,0.5797619922851373,0.9659313725490196,XTIUSD,fut,0.5564324283315071,0.2087862633267352,0.27,0.81,-0.02,0.43,base
trend,1990-08-23,2024-03-28,34.1,0.0906381681507165,0.07607534317674536,0.18586158907516134,0.4876648725631144,0.5996854664526943,-0.4002571748658068,0.190066157345589,-0.21219178506141892,2.847364478263816,0.50920245398773,5.3479561387203995,0.014306595960353751,0.564477122353892,0.5036995262893685,0.9676405540682109,XBRUSD,fut,0.519850985799102,0.4526555736673638,0.69,0.39,0.39,0.47,base
trend,1991-08-09,2024-03-28,32.5,0.07282073591154617,0.055785195401308885,0.1924632284562196,0.37836181225709303,0.4785768665328843,-0.4408973158333802,0.12652650265258295,-0.023887260923364666,2.1580474205448574,0.5103535353535353,3.8817506725476605,0.013152214755443595,0.44669037335524664,0.3687012903604355,0.966089290070749,XNGUSD,fut,0.3147549463432239,0.44204792636613843,0.24,0.44,0.19,0.79,base
trend,1990-08-23,2024-03-28,34.4,0.08068833530970206,0.07359597200744972,0.1389458921407509,0.5807176740998253,0.7382630942356976,-0.3188315896459728,0.23083023890189144,-0.22091857019401087,3.4046609003916157,0.5235708318415085,,,,,,PORT,fut,0.6212848436234251,0.5355009024829108,0.59,0.67,0.32,0.86,base
trend,1991-10-29,2024-03-28,32.4,0.07058030448584227,0.05506459386926599,0.18386936269865206,0.3838611471206219,0.45802476245410284,-0.4511769982578574,0.122046545107327,-0.4578095149946528,2.184333597655256,0.5133214920071048,6.229310202495947,0.01829595606660215,0.4832536229686139,0.5797619922851373,0.9659313725490196,XTIUSD,fut,0.5463903370007799,0.19841123136874467,0.26,0.8,-0.04,0.42,cost_mult=2.0
trend,1990-08-23,2024-03-28,34.1,0.08876638350216436,0.07406369798646173,0.1858606406800414,0.4775964570948372,0.587757979569064,-0.40352125209966716,0.18354348773721704,-0.21204082040515254,2.78857728613719,0.5076386382773969,5.3479561387203995,0.016178380608905897,0.564477122353892,0.5036995262893685,0.9676405540682109,XBRUSD,fut,0.510001783215866,0.44234426499335705,0.68,0.38,0.38,0.47,cost_mult=2.0
trend,1991-08-09,2024-03-28,32.5,0.06893898523899851,0.051693853357781094,0.19247093403931892,0.3581786807607808,0.453378792273294,-0.4566987348486954,0.1131902705509077,-0.0237259907532191,2.042929685474548,0.508459595959596,3.8817506725476605,0.01703396542799126,0.44669037335524664,0.3687012903604355,0.966089290070749,XNGUSD,fut,0.29403951134066686,0.4223992718294257,0.21,0.42,0.17,0.78,cost_mult=2.0
trend,1990-08-23,2024-03-28,34.4,0.07821532845434731,0.0709446839738419,0.1389471643835693,0.5629141753366821,0.7158330694117548,-0.32175063015765903,0.22049586643879684,-0.22091898386012385,3.3002816489369327,0.522735409953455,,,,,,PORT,fut,0.6038842668266514,0.5172300634519095,0.57,0.65,0.29,0.85,cost_mult=2.0
trend,1991-10-29,2024-03-28,32.4,0.0687115114250935,0.053095125923863895,0.18386891921142073,0.37369834836569593,0.44628597492909033,-0.45731075558283707,0.11610294591955266,-0.45764096076600747,2.1265029395302797,0.5115452930728241,6.229310202495947,0.02016474912735093,0.4832536229686139,0.5797619922851373,0.9659313725490196,XTIUSD,fut,0.5363475276667112,0.18803598421672352,0.24,0.8,-0.05,0.41,cost_mult=3.0
trend,1990-08-23,2024-03-28,34.1,0.08689459885361223,0.07205576149331727,0.18585987750173735,0.4675274729630658,0.575875473604821,-0.41113950122491816,0.17525866835621426,-0.21189018811652321,2.7297867737135224,0.5058342355347046,5.3479561387203995,0.018050165257458034,0.564477122353892,0.5036995262893685,0.9676405540682109,XBRUSD,fut,0.5001519647228504,0.4320324249156313,0.67,0.37,0.36,0.46,cost_mult=3.0
